H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,148,115,213,56,69,48,58
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,91,113,138,54,45,92,307
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,4,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,1,1,0,0,0,0
MIR12136,1,1,0,1,0,0,0
LOC100133331,0,0,0,0,0,0,2
LOC100288069,9,6,9,6,2,8,3
FAM87B,1,0,2,1,0,0,1
LINC00115,54,75,89,28,29,45,80
LINC01128,732,576,689,294,241,249,526
FAM41C,117,162,207,130,87,69,160
LINC02593,6,11,110,25,15,42,14
SAMD11,86,157,1545,178,137,538,129
NOC2L,2443,2629,4507,1585,1295,1418,1913
KLHL17,460,367,514,311,224,255,567
PLEKHN1,326,156,213,158,55,57,360
PERM1,2,7,0,1,3,1,6
HES4,12819,10825,2940,7679,4318,1813,7034
ISG15,12255,18100,5404,10071,20762,4151,3516
AGRN,5310,5403,3498,2854,2476,1873,5669
LOC100288175,196,291,89,231,54,24,302
RNF223,0,0,0,1,0,0,0
C1orf159,232,225,395,144,104,153,308
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,39,99,0,5,1,1,14
TNFRSF4,4,7,10,10,3,13,18
SDF4,9267,9791,10866,7020,5536,11677,12848
B3GALT6,4396,3865,4497,2904,2310,2484,3634
C1QTNF12,151,185,89,18,16,48,111
UBE2J2,6775,6857,6310,4507,2503,3194,4207
SCNN1D,73,74,67,39,28,54,144
ACAP3,1183,1181,1476,743,752,686,1474
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,2781,2940,3029,1653,1143,1742,1998
INTS11,2805,2863,3793,1498,1056,1306,2212
MIR6727,0,0,0,0,0,0,0
CPTP,1875,1566,1662,1297,746,798,1339
TAS1R3,9,12,6,0,4,2,20
DVL1,2001,1459,2512,916,1821,606,1652
MIR6808,0,0,0,0,0,0,0
MXRA8,6898,2603,1274,3226,8271,1558,4835
AURKAIP1,27963,31629,36489,18169,13557,18605,22987
CCNL2,3893,4441,3457,3059,1676,2440,4170
MRPL20-AS1,1096,1062,1083,869,424,946,819
MRPL20,22269,21220,21735,12456,9121,12638,14625
ANKRD65,0,0,2,0,3,1,2
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,8,7,1,0,2,1
VWA1,144,659,744,34,47,175,344
ATAD3C,11,29,10,2,4,6,12
ATAD3B,894,2042,2359,413,567,572,676
ATAD3A,2607,2742,3902,1312,1351,1286,1393
TMEM240,178,276,331,234,77,197,385
SSU72,23760,21236,23821,11344,10014,14696,16162
FNDC10,974,1070,2299,995,804,1423,1619
LOC105378586,0,2,2,1,0,0,0
MIB2,1386,1795,1823,1027,819,1414,2261
MMP23B,179,104,6,26,6,191,18
MMP23A,43,30,0,8,2,15,0
CDK11B,1389,1341,1350,788,424,361,565
SLC35E2B,199,198,221,89,111,125,195
