H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,63,28,71,4,16,68,29
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,51,43,74,3,23,173,174
LOC102725121,0,0,0,1,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,1,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,1,0
LOC100288069,6,1,4,0,0,5,1
FAM87B,2,1,0,0,0,1,1
LINC00115,12,30,38,2,6,37,33
LINC01128,142,165,206,17,43,161,212
FAM41C,31,28,64,4,7,99,64
LINC02593,1,0,13,0,3,25,4
SAMD11,49,27,157,24,10,324,49
NOC2L,487,507,778,82,128,747,680
KLHL17,129,90,172,16,45,219,249
PLEKHN1,34,24,15,3,4,42,104
PERM1,0,1,0,0,0,0,1
HES4,2327,1647,1299,555,356,1051,1846
ISG15,2885,12698,2073,1445,619,1811,1635
AGRN,2243,1637,927,152,607,971,1997
LOC100288175,32,41,12,18,7,9,72
RNF223,1,0,0,1,0,0,0
C1orf159,59,54,88,14,18,105,143
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,5,47,0,1,1,3,3
TNFRSF4,4,6,4,0,1,10,10
SDF4,2706,2716,4099,390,823,6559,6579
B3GALT6,986,833,1500,155,229,1370,1434
C1QTNF12,63,72,51,4,1,40,52
UBE2J2,1502,1478,1708,302,255,1675,1818
SCNN1D,44,31,58,3,9,79,103
ACAP3,296,284,425,55,84,471,612
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,452,513,746,96,83,640,833
INTS11,761,665,1050,87,169,728,965
MIR6727,0,0,0,0,0,0,0
CPTP,376,296,462,65,64,366,499
TAS1R3,8,2,5,1,1,15,12
DVL1,536,469,721,108,282,607,714
MIR6808,0,0,0,0,0,0,0
MXRA8,3230,992,881,123,1584,798,2702
AURKAIP1,5206,6494,9885,1019,1314,8392,10448
CCNL2,1174,1171,1182,142,348,1826,1984
MRPL20-AS1,318,304,370,45,63,463,465
MRPL20,4023,4121,5761,559,807,6264,7811
ANKRD65,0,0,1,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,13,66,60,1,3,22,58
ATAD3C,2,4,4,0,1,11,9
ATAD3B,138,172,328,21,64,282,292
ATAD3A,445,382,652,68,155,649,598
TMEM240,44,62,150,9,16,89,99
SSU72,5055,5612,8659,846,1139,7751,7875
FNDC10,208,333,852,66,146,644,633
LOC105378586,0,1,2,0,0,2,0
MIB2,554,527,691,67,165,894,1043
MMP23B,95,50,6,1,3,108,24
MMP23A,18,10,0,1,0,14,0
CDK11B,339,222,308,34,51,165,214
SLC35E2B,66,76,83,7,11,79,95
CDK11A,291,236,266,48,41,178,204
SLC35E2A,106,97,174,20,17,153,241
NADK,695,766,737,84,163,722,822
GNB1,4051,3833,4183,492,1149,4078,5137
CALML6,5,4,4,0,4,3,14
TMEM52,17,19,17,5,3,8,16
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,9,11,8,24,4,55,21
PRKCZ-AS1,42,34,21,5,15,39,47
FAAP20,2327,2745,3129,330,510,2695,5105
SKI,660,547,749,82,169,596,754
MORN1,23,11,32,2,4,31,31
LOC100129534,7,8,4,2,1,9,9
RER1,3409,4139,5932,581,946,6880,7618
PEX10,454,460,744,72,114,549,583
PLCH2,27,9,4,7,8,4,11
PANK4,167,145,126,12,53,178,184
HES5,4,4,2,5,2,6,3
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,3,14,0,0,2,2,1
LOC100996583,0,1,0,0,0,0,0
PRXL2B,140,180,227,38,65,165,266
MMEL1,1,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,43,13,13,9,9,0,1
PRDM16,97,48,40,22,24,2,9
MIR4251,0,0,0,0,0,0,0
ARHGEF16,10,32,36,6,5,4,10
MEGF6,437,130,306,86,29,107,211
MIR551A,0,0,0,0,0,0,0
TPRG1L,899,841,884,149,280,1139,1278
WRAP73,303,327,464,37,69,455,451
TP73,0,0,3,0,0,0,1
TP73-AS1,164,125,207,18,26,156,183
CCDC27,0,0,0,0,0,0,0
SMIM1,45,63,133,16,8,59,98
LRRC47,673,604,746,108,170,785,780
CEP104,417,341,398,53,120,373,440
DFFB,63,42,67,9,11,86,75
C1orf174,511,593,745,76,112,777,828
LINC01134,0,1,4,0,0,1,1
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,1,0,0,2,0
MIR4689,0,0,0,0,0,0,0
NPHP4,44,44,56,9,19,67,93
KCNAB2,32,41,59,5,8,21,83
CHD5,21,21,1,15,1,27,22
RPL22,16668,18089,34601,2556,3103,20969,31371
LOC102724450,1,7,17,3,2,12,30
RNF207,76,91,24,1,30,122,169
