H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,62,42,131,101,69,86,35
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,265,247,194,375,180,507,323
LOC102725121,0,0,0,0,0,0,0
FAM138D,2,0,1,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,2,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,1
LOC100288069,5,11,13,9,15,2,1
FAM87B,0,0,1,0,0,0,0
LINC00115,48,79,71,29,50,48,22
LINC01128,422,449,463,389,243,319,205
FAM41C,74,54,122,100,40,69,60
LINC02593,1,0,7,0,0,0,1
SAMD11,18,14,48,4,31,2,44
NOC2L,3039,1864,3502,2116,1565,2048,1900
KLHL17,260,252,284,230,262,301,145
PLEKHN1,70,80,43,61,88,51,26
PERM1,0,1,0,1,5,0,0
HES4,251,444,994,105,2413,93,394
ISG15,3390,2727,1228,3460,2374,2532,2720
AGRN,1546,1270,741,1527,665,1121,1085
LOC100288175,165,217,41,130,459,93,106
RNF223,0,0,0,0,2,0,0
C1orf159,180,112,157,161,118,219,125
LINC01342,0,4,0,3,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,1,3,0,6,0,5,0
TNFRSF18,31,79,11,57,51,39,23
TNFRSF4,3,8,1,3,1,3,1
SDF4,2330,1698,3033,1936,1386,1987,1840
B3GALT6,1902,1518,2037,1443,882,1426,848
C1QTNF12,87,135,68,115,176,157,81
UBE2J2,3915,3111,5004,3317,2376,3128,2399
SCNN1D,18,34,15,11,8,20,9
ACAP3,371,277,374,359,260,352,254
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,3437,2378,3260,2300,1649,2648,1665
INTS11,2775,1805,2490,1556,1388,1884,1411
MIR6727,0,0,0,0,0,0,0
CPTP,564,387,672,357,404,413,309
TAS1R3,0,3,0,0,0,1,1
DVL1,1092,820,946,1019,577,1006,478
MIR6808,0,0,0,0,0,0,0
MXRA8,121,158,169,140,113,195,79
AURKAIP1,35455,24512,28583,23764,17641,21274,17212
CCNL2,1949,1446,2451,1470,1417,1387,1270
MRPL20-AS1,978,1075,1286,898,837,1033,578
MRPL20,28949,15190,17924,18047,13191,12830,11653
ANKRD65,44,85,44,116,91,55,167
TMEM88B,0,0,0,1,4,1,0
LINC01770,91,160,17,83,17,199,32
VWA1,3471,1145,1495,1864,1212,1150,1714
ATAD3C,51,25,10,79,33,55,30
ATAD3B,4783,1779,3477,2313,2178,1386,2231
ATAD3A,3146,1297,3384,1777,1369,1659,1500
TMEM240,134,127,153,102,85,151,39
SSU72,20729,14896,18497,14038,9485,15025,10027
FNDC10,1218,1047,1424,1124,674,1952,435
LOC105378586,1,0,0,1,1,1,0
MIB2,702,835,746,1330,1976,678,970
MMP23B,4,9,2,1,4,8,3
MMP23A,0,1,0,0,1,1,0
CDK11B,929,734,979,869,645,497,324
SLC35E2B,227,230,152,108,106,128,120
CDK11A,773,690,834,530,535,366,308
SLC35E2A,282,399,327,316,128,369,178
NADK,1047,1009,1376,986,566,1472,815
GNB1,7915,5626,5103,6813,4523,6193,4216
CALML6,0,3,1,2,1,2,2
TMEM52,1135,950,776,876,299,1099,534
CFAP74,2,3,3,1,1,1,0
GABRD,44,41,30,34,20,37,9
LOC105378591,3,4,2,1,1,2,2
PRKCZ,1085,742,946,751,609,778,449
PRKCZ-AS1,35,12,29,31,18,24,18
FAAP20,11746,9032,5604,8023,5560,7950,5204
SKI,846,689,445,848,384,774,566
MORN1,48,35,62,50,26,34,22
LOC100129534,0,10,1,5,7,4,4
RER1,8400,5782,7919,4799,4468,4316,4565
PEX10,1602,990,1742,1256,890,945,681
PLCH2,0,4,2,1,0,1,0
PANK4,114,112,195,77,63,229,99
HES5,9,11,171,2,84,4,14
TNFRSF14-AS1,0,0,0,0,1,0,0
TNFRSF14,8,6,0,1,0,3,2
LOC100996583,1,1,0,0,0,0,0
PRXL2B,1368,770,1432,939,563,666,477
MMEL1,1,9,3,2,2,6,2
TTC34,0,0,0,1,1,0,0
ACTRT2,0,0,1,4,0,0,0
PRDM16-DT,0,4,49,0,7,0,0
PRDM16,8,10,18,28,15,6,3
MIR4251,0,0,0,0,0,0,0
ARHGEF16,745,436,637,477,502,321,504
MEGF6,133,132,148,156,84,132,126
MIR551A,0,0,0,0,0,0,0
TPRG1L,731,478,946,477,554,495,427
WRAP73,1075,1123,1364,615,518,820,797
TP73,20,75,39,25,7,67,8
TP73-AS1,368,468,392,324,144,522,168
CCDC27,0,0,0,0,0,0,0
SMIM1,303,411,206,234,93,303,148
LRRC47,1891,1362,3134,1733,1731,2283,1059
CEP104,655,375,622,477,366,447,299
DFFB,267,205,319,224,87,282,165
C1orf174,1651,1325,2271,1498,998,2264,1330
LINC01134,2,1,0,2,1,1,1
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,1,0,1,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,173,149,353,86,14,145,386
MIR4689,0,0,0,0,0,0,0
NPHP4,327,112,211,381,226,339,151
KCNAB2,29,51,15,65,11,83,20
CHD5,38,55,33,40,118,30,26
RPL22,103085,98677,68092,89566,59159,70879,61918
LOC102724450,5,22,6,6,0,12,2
RNF207,16,27,27,20,11,44,4
ICMT,2901,1802,3014,2619,1206,1933,1248
LINC00337,81,224,85,107,80,173,31
HES3,5,15,48,6,13,8,1
GPR153,79,152,318,117,62,215,22
ACOT7,5400,3505,4166,3219,1757,3363,3523
HES2,15,58,33,6,30,13,63
ESPN,1209,1224,567,384,182,814,250
MIR4252,0,0,0,0,0,0,0
TNFRSF25,176,221,102,191,133,173,67
PLEKHG5,165,175,111,182,181,258,100
NOL9,1617,989,1897,1224,823,900,688
TAS1R1,1,0,2,0,1,0,0
ZBTB48,491,348,449,314,337,318,241
KLHL21,607,251,347,560,308,308,346
PHF13,664,660,740,603,309,584,363
THAP3,910,865,744,516,731,777,475
