H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,10,12,85,1,4,4,0
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,2,9,30,0,2,3,0
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,1,1,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,0,3,3,0,0,1,0
FAM87B,0,0,0,0,0,0,0
LINC00115,4,14,33,2,6,1,1
LINC01128,72,65,260,7,29,18,3
FAM41C,10,15,84,5,9,4,3
LINC02593,0,1,36,0,0,0,2
SAMD11,3,27,673,3,44,42,2
NOC2L,237,504,2014,27,195,141,53
KLHL17,29,43,192,4,28,12,10
PLEKHN1,30,23,69,2,6,5,5
PERM1,0,0,0,0,0,0,0
HES4,1352,1093,1359,125,422,158,92
ISG15,752,955,1458,123,2277,221,35
AGRN,317,457,1059,40,156,78,46
LOC100288175,15,51,33,3,2,2,6
RNF223,0,0,0,0,0,0,0
C1orf159,40,42,185,6,17,22,5
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,4,6,0,0,0,0,0
TNFRSF4,1,3,4,0,0,1,0
SDF4,566,976,3498,92,390,520,87
B3GALT6,309,520,1586,56,222,127,38
C1QTNF12,10,13,16,0,0,3,2
UBE2J2,532,1061,2444,99,330,219,63
SCNN1D,2,1,11,0,0,1,0
ACAP3,100,129,486,11,55,37,18
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,301,384,1128,37,109,113,31
INTS11,277,417,1510,29,144,108,40
MIR6727,0,0,0,0,0,0,0
CPTP,116,162,560,20,64,35,19
TAS1R3,0,1,1,0,1,0,0
DVL1,162,212,972,19,159,33,34
MIR6808,0,0,0,0,0,0,0
MXRA8,254,212,202,29,673,48,53
AURKAIP1,2576,5205,14649,363,1666,1451,437
CCNL2,229,357,985,43,117,103,32
MRPL20-AS1,64,96,334,10,43,39,7
MRPL20,2039,3180,7970,209,995,994,182
ANKRD65,0,0,0,0,1,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,2,1,0,0,0,0
VWA1,37,126,258,1,9,20,9
ATAD3C,0,3,5,0,1,0,0
ATAD3B,139,539,1258,23,157,77,12
ATAD3A,335,618,2052,37,238,126,40
TMEM240,18,28,89,5,2,9,6
SSU72,1785,2698,7864,186,884,799,241
FNDC10,108,148,765,18,90,78,28
LOC105378586,0,1,0,0,0,0,0
MIB2,73,155,456,8,41,52,9
MMP23B,4,5,2,1,1,5,0
MMP23A,3,3,0,0,0,0,0
CDK11B,161,291,665,20,93,34,23
SLC35E2B,18,14,67,0,12,6,0
CDK11A,123,183,478,14,53,45,19
SLC35E2A,21,31,116,6,8,14,2
NADK,121,257,964,17,67,81,17
GNB1,1335,2329,6586,154,872,393,185
CALML6,0,1,1,0,1,0,0
TMEM52,3,24,36,3,4,4,0
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,2,2,40,3,3,3,3
PRKCZ-AS1,2,6,12,0,2,4,0
FAAP20,916,1443,3202,112,394,317,165
SKI,109,207,462,11,53,24,18
MORN1,5,10,33,1,1,3,2
LOC100129534,0,0,1,0,1,2,0
RER1,1763,2613,6929,221,1018,1045,229
PEX10,100,214,836,15,83,69,21
PLCH2,19,47,1,1,3,0,2
PANK4,36,41,225,3,29,16,12
HES5,11,4,5,0,10,0,1
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,2,2,0,0,0,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,71,121,536,18,53,22,11
MMEL1,0,0,1,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,17,7,12,4,15,0,0
PRDM16,24,32,26,7,33,0,0
MIR4251,0,0,0,0,0,0,0
ARHGEF16,14,21,20,3,2,3,2
MEGF6,60,16,93,29,8,2,7
MIR551A,0,0,0,0,0,0,0
TPRG1L,92,136,505,14,67,37,11
WRAP73,115,186,546,14,72,58,15
TP73,0,0,5,0,0,0,0
TP73-AS1,21,44,183,7,19,19,8
CCDC27,0,0,0,0,0,0,0
SMIM1,16,33,100,2,3,22,3
LRRC47,167,266,854,18,117,62,27
CEP104,78,129,540,11,56,35,14
DFFB,13,39,110,3,16,12,2
C1orf174,190,370,1265,28,146,131,28
LINC01134,0,0,1,0,0,0,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,4,0,0,0,0
MIR4689,0,0,0,0,0,0,0
NPHP4,8,19,87,3,4,6,6
KCNAB2,3,7,28,0,4,1,1
CHD5,0,0,0,5,0,0,0
RPL22,8289,14495,35544,924,3592,3150,1045
LOC102724450,1,7,19,0,2,0,0
RNF207,11,25,28,1,8,3,0
ICMT,317,406,1611,22,179,107,39
LINC00337,0,1,1,1,1,0,0
HES3,0,0,0,0,0,0,0
GPR153,2,5,36,1,4,2,2
ACOT7,659,843,2639,121,300,191,91
HES2,0,0,1,1,1,0,0
ESPN,0,0,0,0,0,0,0
MIR4252,0,0,0,0,0,0,0
TNFRSF25,39,77,207,4,19,6,3
PLEKHG5,33,103,300,7,29,8,8
NOL9,203,321,948,14,127,80,17
TAS1R1,0,0,0,0,0,0,0
ZBTB48,38,68,184,11,21,22,3
KLHL21,60,86,285,4,44,12,5
PHF13,69,108,295,11,32,26,10
THAP3,152,254,544,34,89,82,21
DNAJC11,110,215,685,24,61,45,18
LINC01672,0,0,0,0,0,0,0
CAMTA1-DT,0,0,2,0,0,0,0
CAMTA1,970,1809,4309,150,628,527,174
CAMTA1-AS2,1,0,0,0,0,0,0
VAMP3,522,485,1639,63,173,251,80
PER3,11,16,38,5,4,2,2
UTS2,0,0,0,0,0,0,0
TNFRSF9,0,7,2,1,0,2,1
PARK7,4602,9292,20006,672,2705,2548,632
ERRFI1,419,815,1329,34,193,69,98
LINC01714,1,1,0,0,0,0,0
SLC45A1,3,14,9,1,2,2,1
RERE,133,176,512,58,67,73,18
RERE-AS1,0,0,2,0,0,0,0
SNORD128,0,0,0,0,0,0,0
ENO1,6428,11397,56845,608,3808,2755,2381
MIR6728,0,0,0,0,0,0,0
ENO1-AS1,1,4,13,1,1,0,2
CA6,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0
SLC2A5,0,1,1,0,1,1,0
GPR157,5,15,26,0,3,2,0
MIR34AHG,11,20,55,2,4,4,2
MIR34A,0,0,0,0,0,0,0
LNCTAM34A,16,34,82,9,3,2,2
H6PD,25,72,268,5,21,22,6
SPSB1,126,218,313,9,157,32,20
LINC02606,1,10,18,1,3,2,0
SLC25A33,145,313,670,24,117,93,16
TMEM201,51,57,176,3,13,16,2
PIK3CD,36,64,176,3,16,8,3
PIK3CD-AS1,0,0,0,0,0,0,0
PIK3CD-AS2,12,40,43,1,10,5,0
CLSTN1,259,435,1611,30,191,102,56
CTNNBIP1,437,620,1572,59,272,183,57
LZIC,337,636,1544,42,218,182,53
NMNAT1,54,84,298,6,19,17,10
TMEM274P,0,1,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0
RBP7,23,30,71,6,3,3,0
UBE4B,76,161,424,6,55,29,9
KIF1B,235,391,1315,49,120,74,28
RNU6-1,0,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0,0
PGD,342,590,3061,35,319,232,68
CENPS,153,361,982,14,131,108,17
CENPS-CORT,8,14,29,1,3,1,0
CORT,3,3,10,0,0,1,0
DFFA,400,700,2374,68,159,225,53
PEX14,60,133,457,10,42,33,12
CASZ1,11,12,9,4,2,1,0
C1orf127,0,0,0,0,0,0,0
TARDBP,192,406,1251,33,145,107,32
MASP2,0,0,0,0,0,0,0
SRM,3264,4926,13189,253,1684,1626,332
EXOSC10,177,392,1025,22,93,48,26
EXOSC10-AS1,33,21,78,6,6,2,0
MTOR,79,185,577,8,48,52,14
MTOR-AS1,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,0
UBIAD1,66,144,398,12,35,25,7
DISP3,0,0,1,0,0,0,0
LINC01647,0,0,0,0,0,0,0
FBXO2,26,20,118,1,3,102,11
FBXO44,44,50,160,7,18,23,7
FBXO6,28,56,60,2,14,26,3
MAD2L2,301,524,2663,51,173,130,60
DRAXIN,3,1,156,7,1,0,0
AGTRAP,202,360,1408,17,111,176,39
C1orf167,0,0,0,0,0,1,0
C1orf167-AS1,0,0,0,0,0,0,0
MTHFR,14,35,72,1,9,12,3
CLCN6,12,31,84,4,10,5,3
NPPA-AS1,0,0,0,0,0,0,0
NPPA,1,0,0,0,0,0,0
NPPB,148,5,1,1217,6,210,4
RNU5E-1,0,0,0,0,0,0,0
KIAA2013,214,352,1582,27,189,91,24
PLOD1,312,547,1534,40,221,166,85
MFN2,100,154,613,10,59,48,19
MIIP,142,286,941,25,138,82,23
MIR6729,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,1,0
MIR7846,0,0,0,0,0,0,0
TNFRSF1B,1,0,4,0,0,2,0
MIR4632,0,0,0,0,0,0,0
VPS13D,35,66,240,5,23,19,14
SNORA59A,0,0,0,0,0,0,0
SNORA59B,0,0,0,0,0,0,0
DHRS3,3,7,45,2,11,235,4
MIR6730,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0
HNRNPCL1,1,0,2,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0
