H1.1,H6.1
DDX11L1,0,0
WASH7P,0,0
MIR6859-1,0,0
MIR6859-2,0,0
MIR6859-3,0,0
MIR6859-4,0,0
MIR1302-10,0,0
MIR1302-11,0,0
MIR1302-2,0,0
MIR1302-9,0,0
FAM138A,0,0
FAM138C,0,0
FAM138F,0,0
OR4F5,0,0
LOC729737,0,0
LOC102725121,0,0
FAM138D,0,0
OR4F16,0,0
OR4F29,0,0
OR4F3,0,0
LOC100132062,0,0
LOC100132287,0,0
LOC101928626,0,0
MIR12136,0,0
LOC100133331,0,0
LOC100288069,0,0
FAM87B,0,0
LINC00115,0,1
LINC01128,0,1
FAM41C,0,1
LINC02593,0,0
SAMD11,0,0
NOC2L,0,4
KLHL17,0,1
PLEKHN1,0,0
PERM1,0,0
HES4,1,3
ISG15,1,17
AGRN,0,14
LOC100288175,0,0
RNF223,0,0
C1orf159,0,1
LINC01342,0,0
MIR200B,0,0
MIR200A,0,0
MIR429,0,0
TTLL10,0,0
TNFRSF18,0,0
TNFRSF4,0,0
SDF4,1,32
B3GALT6,1,8
C1QTNF12,0,0
UBE2J2,1,4
SCNN1D,0,0
ACAP3,0,4
MIR6726,0,0
SNORD167,0,0
PUSL1,0,9
INTS11,0,7
MIR6727,0,0
CPTP,1,4
TAS1R3,0,0
DVL1,2,4
MIR6808,0,0
MXRA8,1,19
AURKAIP1,5,55
CCNL2,0,7
MRPL20-AS1,0,4
MRPL20,10,62
ANKRD65,0,0
TMEM88B,0,0
LINC01770,0,0
VWA1,0,0
ATAD3C,0,0
ATAD3B,0,2
ATAD3A,0,2
TMEM240,0,1
SSU72,2,46
FNDC10,1,0
LOC105378586,0,0
MIB2,0,5
MMP23B,0,0
MMP23A,0,0
CDK11B,0,1
SLC35E2B,0,0
CDK11A,0,1
SLC35E2A,0,1
NADK,0,3
GNB1,2,13
CALML6,0,0
TMEM52,0,1
CFAP74,0,0
GABRD,0,0
LOC105378591,0,0
PRKCZ,0,0
PRKCZ-AS1,0,1
FAAP20,3,27
SKI,1,3
MORN1,0,0
LOC100129534,0,0
RER1,7,29
PEX10,0,4
PLCH2,0,0
PANK4,0,0
HES5,0,0
TNFRSF14-AS1,0,0
TNFRSF14,0,0
LOC100996583,0,0
PRXL2B,1,3
MMEL1,0,0
TTC34,0,0
ACTRT2,0,0
PRDM16-DT,0,0
PRDM16,0,0
MIR4251,0,0
ARHGEF16,0,0
MEGF6,0,1
MIR551A,0,0
TPRG1L,1,6
WRAP73,1,4
TP73,0,0
TP73-AS1,0,1
CCDC27,0,0
SMIM1,0,0
LRRC47,0,1
CEP104,0,2
DFFB,0,0
C1orf174,0,5
LINC01134,0,0
LINC01346,0,0
LINC01345,0,0
LINC01777,0,0
LINC01646,0,0
AJAP1,0,0
MIR4689,0,0
NPHP4,0,0
KCNAB2,0,0
CHD5,0,0
RPL22,8,191
LOC102724450,0,0
RNF207,0,1
ICMT,1,3
LINC00337,0,0
HES3,0,0
GPR153,0,0
ACOT7,0,3
HES2,0,0
ESPN,0,0
MIR4252,0,0
TNFRSF25,0,1
PLEKHG5,0,0
NOL9,1,1
TAS1R1,0,0
ZBTB48,0,1
KLHL21,1,4
PHF13,1,5
THAP3,0,2
DNAJC11,0,2
LINC01672,0,0
CAMTA1-DT,0,0
CAMTA1,1,30
CAMTA1-AS2,0,0
VAMP3,1,11
PER3,0,0
UTS2,0,0
TNFRSF9,0,0
PARK7,7,91
ERRFI1,1,2
LINC01714,0,0
SLC45A1,0,1
RERE,0,3
RERE-AS1,0,0
SNORD128,0,0
ENO1,3,21
MIR6728,0,0
ENO1-AS1,0,0
CA6,0,0
SLC2A7,0,0
SLC2A5,0,0
GPR157,0,1
MIR34AHG,0,0
MIR34A,0,0
LNCTAM34A,0,1
H6PD,0,0
SPSB1,1,6
LINC02606,0,0
SLC25A33,0,1
TMEM201,0,1
PIK3CD,0,0
PIK3CD-AS1,0,0
PIK3CD-AS2,0,1
CLSTN1,0,10
CTNNBIP1,2,10
LZIC,1,1
NMNAT1,0,1
TMEM274P,0,0
MIR5697,0,0
RBP7,0,0
UBE4B,0,0
KIF1B,0,5
RNU6-1,0,0
