H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,31,13,14,2,27,15,15
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,50,45,27,6,38,98,154
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,1,0,0,0,0,0
MIR12136,1,0,0,0,0,0,0
LOC100133331,0,0,0,0,1,0,1
LOC100288069,6,0,2,1,0,1,0
FAM87B,0,0,1,0,0,0,1
LINC00115,2,11,18,1,7,13,18
LINC01128,79,83,42,7,43,48,76
FAM41C,13,17,7,1,9,21,19
LINC02593,3,0,0,0,2,17,1
SAMD11,27,18,25,12,3,82,18
NOC2L,280,252,125,36,164,245,212
KLHL17,85,59,35,7,48,91,118
PLEKHN1,23,12,5,5,8,18,14
PERM1,0,0,0,0,0,0,0
HES4,821,491,203,118,263,263,210
ISG15,1383,4601,270,415,388,354,360
AGRN,1962,1194,254,154,903,439,707
LOC100288175,10,4,0,2,2,4,2
RNF223,1,0,0,0,0,0,0
C1orf159,37,27,17,6,20,44,69
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,1,10,0,1,1,0,1
TNFRSF4,3,2,0,2,1,7,3
SDF4,1586,1285,760,167,996,1894,2143
B3GALT6,416,298,218,46,231,344,384
C1QTNF12,39,26,13,0,3,20,32
UBE2J2,682,487,217,51,246,319,386
SCNN1D,36,27,15,2,18,48,61
ACAP3,219,174,108,30,116,207,274
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,160,132,93,18,77,130,163
INTS11,448,317,170,38,222,234,306
MIR6727,0,0,0,0,0,0,0
CPTP,178,121,80,15,77,94,101
TAS1R3,2,2,0,0,2,8,9
DVL1,332,284,155,52,318,209,272
MIR6808,0,0,0,0,0,0,0
MXRA8,1823,768,223,76,2288,224,1024
AURKAIP1,2081,2034,1297,199,1196,1596,2006
CCNL2,851,852,370,91,544,819,1034
MRPL20-AS1,140,103,63,16,47,98,123
MRPL20,1526,1144,602,103,676,1047,1412
ANKRD65,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,3,20,14,1,1,5,7
ATAD3C,2,4,1,0,1,6,8
ATAD3B,87,88,53,15,68,132,159
ATAD3A,247,178,117,23,166,228,233
TMEM240,18,35,28,1,9,17,16
SSU72,1480,1464,935,117,743,1177,1349
FNDC10,103,115,124,11,147,154,200
LOC105378586,0,0,0,0,0,1,0
MIB2,324,308,182,28,238,338,415
MMP23B,39,21,2,3,1,28,8
MMP23A,4,4,0,0,0,1,0
CDK11B,154,96,30,14,45,36,48
SLC35E2B,44,44,19,1,19,28,36
CDK11A,179,117,43,24,41,48,55
SLC35E2A,50,44,48,5,26,61,83
NADK,491,393,160,46,222,221,241
GNB1,2530,1680,771,188,1250,1212,1180
CALML6,4,5,2,0,3,3,11
TMEM52,3,7,1,0,6,2,5
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,5,0,1,4,5,9,2
PRKCZ-AS1,33,17,7,6,13,22,15
FAAP20,995,866,474,84,478,596,1046
SKI,535,355,232,56,222,232,325
MORN1,14,4,8,2,2,13,20
LOC100129534,3,5,0,2,5,3,5
RER1,1387,1425,722,122,811,1516,1493
PEX10,166,150,98,17,104,95,132
PLCH2,20,6,2,4,8,1,3
PANK4,109,65,26,3,63,54,82
HES5,1,1,0,1,4,1,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,2,6,0,0,2,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,80,84,43,18,53,57,72
MMEL1,1,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,19,6,1,2,6,0,0
PRDM16,84,16,11,21,36,1,2
MIR4251,0,0,0,0,0,0,0
ARHGEF16,5,19,9,1,5,0,3
MEGF6,447,84,87,106,46,59,79
MIR551A,0,0,0,0,0,0,0
TPRG1L,522,364,161,46,344,300,337
WRAP73,131,130,76,14,78,101,140
TP73,0,0,0,0,0,0,0
TP73-AS1,107,61,49,7,43,55,65
CCDC27,0,0,0,0,0,0,0
SMIM1,21,17,16,4,5,7,11
LRRC47,357,291,140,26,186,249,292
CEP104,262,186,87,29,158,137,172
DFFB,49,38,17,3,19,32,32
C1orf174,233,184,92,13,99,164,180
LINC01134,1,0,0,0,0,0,2
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,1,0
MIR4689,0,0,0,0,0,0,0
NPHP4,30,28,15,4,33,23,39
KCNAB2,24,16,14,0,9,5,32
CHD5,14,7,0,11,5,13,5
RPL22,6095,5226,4429,410,2330,3561,6677
LOC102724450,0,1,1,1,1,4,6
RNF207,52,62,10,4,47,71,66
ICMT,601,469,236,26,393,317,460
LINC00337,2,1,0,0,1,1,0
HES3,0,0,0,0,0,0,0
GPR153,22,30,23,3,26,8,32
ACOT7,370,280,105,51,253,137,294
HES2,0,3,0,3,1,0,0
ESPN,0,0,0,0,0,1,0
MIR4252,0,0,0,0,0,0,0
TNFRSF25,108,76,43,7,47,74,62
PLEKHG5,129,59,50,15,40,50,45
NOL9,345,288,116,14,182,189,182
TAS1R1,1,0,0,0,0,0,0
ZBTB48,114,87,61,9,53,68,100
KLHL21,411,271,156,35,199,206,351
PHF13,224,127,71,17,78,82,139
THAP3,210,155,59,23,69,138,119
DNAJC11,210,192,84,16,98,178,218
LINC01672,0,0,0,0,0,0,0
CAMTA1-DT,0,0,0,0,0,0,0
CAMTA1,644,674,380,66,321,664,942
CAMTA1-AS2,0,0,0,0,0,0,0
VAMP3,557,468,194,42,313,391,444
PER3,31,29,10,4,9,5,17
UTS2,0,1,0,0,0,0,0
TNFRSF9,1,0,0,0,0,0,0
PARK7,3783,3358,1627,263,1600,2017,2609
ERRFI1,616,853,420,65,861,359,580
LINC01714,1,1,0,0,0,0,0
SLC45A1,58,38,11,6,20,29,30
RERE,641,284,177,124,201,548,438
RERE-AS1,3,1,0,0,1,1,2
SNORD128,0,0,0,0,0,0,1
ENO1,2306,2135,1356,270,1407,2211,1781
MIR6728,0,0,0,0,0,0,0
ENO1-AS1,4,8,3,0,1,7,7
CA6,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0
SLC2A5,1,2,0,1,17,96,26
GPR157,46,18,13,2,22,20,40
MIR34AHG,111,68,37,17,51,85,104
MIR34A,0,0,0,0,0,0,0
LNCTAM34A,89,53,34,10,25,43,55
H6PD,287,254,248,20,168,169,293
SPSB1,726,235,121,11,227,369,315
LINC02606,13,19,5,0,5,6,6
SLC25A33,127,112,69,11,66,84,119
TMEM201,59,46,27,7,33,57,50
PIK3CD,36,35,52,6,61,54,73
PIK3CD-AS1,0,1,0,0,0,0,0
PIK3CD-AS2,60,68,18,3,6,21,59
CLSTN1,1004,847,445,79,600,790,1180
CTNNBIP1,258,240,130,25,184,166,195
LZIC,421,348,166,32,210,170,288
NMNAT1,132,85,68,8,53,56,91
TMEM274P,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0
RBP7,2,1,2,5,0,1,1
UBE4B,273,183,140,21,113,160,196
KIF1B,560,369,214,57,298,212,265
RNU6-1,0,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0,0
PGD,291,220,524,37,304,1033,554
CENPS,43,67,45,4,54,45,41
CENPS-CORT,0,2,2,0,2,1,0
CORT,2,0,0,0,0,0,0
DFFA,437,277,184,26,185,179,207
PEX14,150,115,42,9,66,102,89
CASZ1,41,17,0,3,3,3,5
C1orf127,4,4,1,0,0,0,1
TARDBP,453,284,177,43,178,355,427
MASP2,0,0,0,0,0,2,0
SRM,1242,1175,717,131,779,1244,1479
EXOSC10,278,213,111,14,147,144,170
EXOSC10-AS1,16,14,6,3,5,16,19
MTOR,301,181,86,22,126,138,168
MTOR-AS1,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,1
UBIAD1,165,128,50,8,49,66,74
DISP3,0,0,0,0,0,0,0
LINC01647,0,0,0,0,0,0,0
FBXO2,76,84,38,21,32,134,217
FBXO44,148,67,39,20,61,99,118
FBXO6,92,95,28,3,60,42,40
MAD2L2,125,123,74,13,60,52,71
DRAXIN,0,0,6,3,0,1,0
AGTRAP,247,338,211,25,242,404,756
C1orf167,0,2,0,0,1,1,0
C1orf167-AS1,0,0,0,0,0,0,0
MTHFR,129,83,61,14,51,57,153
CLCN6,89,59,44,4,41,76,103
NPPA-AS1,1,0,0,0,0,2,2
NPPA,0,0,0,1,0,1,0
NPPB,39,0,0,144,1,149,13
RNU5E-1,0,0,0,0,0,0,1
KIAA2013,490,411,263,48,302,380,355
PLOD1,1305,723,685,87,703,962,1332
MFN2,420,316,166,34,182,261,327
MIIP,138,105,61,8,91,226,137
MIR6729,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,10,0
MIR7846,0,0,0,0,0,0,0
TNFRSF1B,0,1,3,0,0,1,0
MIR4632,0,0,0,0,0,0,0
VPS13D,189,158,96,14,96,145,146
SNORA59A,0,0,0,0,0,0,0
SNORA59B,0,0,0,0,0,0,0
DHRS3,38,103,67,5,15,1131,182
MIR6730,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,1,0
AADACL3,0,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0
HNRNPCL1,0,0,1,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0
PRAMEF22,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,70,0
PDPN,25,67,240,2,299,5180,196
PRDM2,275,149,136,18,125,239,251
KAZN-AS1,0,0,0,0,0,0,0
KAZN,358,114,71,20,78,61,77
TMEM51-AS1,0,1,0,0,0,2,0
TMEM51,12,15,17,4,40,129,47
C1orf195,0,0,0,0,0,0,0
FHAD1,0,0,5,0,0,0,2
FHAD1-AS1,0,0,0,0,0,0,0
EFHD2,66,112,102,8,75,143,131
CTRC,0,1,1,0,0,0,0
CELA2A,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0,0
CASP9,68,45,15,0,31,26,40
DNAJC16,201,145,128,23,119,164,282
SCARNA21B,0,0,0,0,0,0,0
AGMAT,9,9,3,1,9,6,16
DDI2,130,95,82,9,71,90,129
RSC1A1,0,0,0,0,0,0,0
PLEKHM2,481,324,243,36,217,259,370
SLC25A34,13,6,8,1,8,20,30
SLC25A34-AS1,27,1,1,1,3,0,7
TMEM82,0,0,0,0,0,0,0
FBLIM1,3538,1122,463,288,607,317,710
UQCRHL,26,14,13,1,11,15,19
FLJ37453,51,33,20,2,25,37,48
SPEN,478,322,182,43,137,164,241
ZBTB17,168,103,62,10,65,99,126
SRARP,0,0,0,0,0,0,0
HSPB7,978,98,4,69,965,35,10
CLCNKA,2,2,0,0,1,0,3
CLCNKB,4,1,0,0,0,0,1
FAM131C,1,6,3,1,4,0,3
EPHA2,1008,752,356,130,420,538,662
ARHGEF19,64,55,20,1,41,46,35
CPLANE2,11,7,9,0,5,5,21
FBXO42,218,113,73,13,61,73,110
SZRD1,721,435,293,46,316,329,510
SPATA21,0,0,0,0,0,1,0
NECAP2,643,426,229,37,285,213,331
LINC01772,8,8,9,0,6,5,6
CROCCP3,21,27,18,3,8,9,17
RNU1-1,0,0,0,0,0,0,0
RNU1-2,0,0,0,0,0,0,0
RNU1-3,0,0,0,0,0,0,0
RNU1-4,0,0,0,0,0,0,0
RNVU1-18,0,0,0,0,0,0,0
LINC01783,0,0,0,0,1,0,0
MIR3675,0,0,0,0,0,0,0
NBPF1,193,195,34,13,143,122,144
CROCCP2,101,107,29,10,59,41,95
MST1P2,18,14,12,0,5,29,15
ESPNP,0,0,0,0,0,0,0
MST1L,4,4,3,0,4,6,0
LOC112267871,0,0,0,0,0,0,0
LOC105376805,185,177,6,1,43,167,112
CROCC,133,118,77,9,80,70,95
MFAP2,756,612,1116,36,704,772,2606
ATP13A2,203,177,135,22,164,217,341
SDHB,392,348,154,30,164,243,328
PADI2,3,30,0,0,0,1,1
LINC02783,0,0,3,1,2,3,7
PADI1,40,41,4,1,8,3,6
PADI3,0,0,0,0,0,0,0
MIR3972,0,0,0,0,0,0,0
PADI4,0,0,0,0,0,0,0
PADI6,0,0,0,0,0,0,0
RCC2,738,656,390,54,308,335,582
ARHGEF10L,239,156,64,42,122,51,81
ACTL8,0,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0,0
KLHDC7A,0,1,0,0,0,0,0
PAX7,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0
ALDH4A1,84,49,32,11,41,47,44
MIR4695,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0,0
IFFO2,108,75,32,15,98,23,68
UBR4,916,682,279,95,411,564,625
EMC1-AS1,40,33,19,1,11,25,59
EMC1,385,312,177,28,207,400,330
MRTO4,278,234,164,39,116,195,201
AKR7L,8,2,7,1,5,4,4
AKR7A3,3,4,0,0,0,2,5
LOC100506730,22,27,17,1,12,5,18
AKR7A2,479,503,280,42,237,286,379
SLC66A1,132,144,80,20,77,99,165
CAPZB,2423,2172,1067,175,1547,1598,1723
LOC105378614,0,0,0,0,0,0,0
MICOS10,2521,2810,1233,189,1475,2100,3026
MICOS10-NBL1,0,0,0,0,0,0,0
RPS14P3,38,44,52,5,23,53,121
NBL1,4,2,2,0,2,2,5
HTR6,1,1,0,0,0,2,2
TMCO4,93,89,20,11,31,18,44
RNF186,0,0,0,0,0,0,0
OTUD3,78,45,19,21,63,65,76
PLA2G2E,0,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,5,1
PLA2G5,0,0,0,0,0,1,1
PLA2G2D,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0
UBXN10-AS1,0,0,0,0,0,1,0
UBXN10,0,0,0,0,0,4,0
LINC01757,0,0,0,0,0,0,0
VWA5B1,0,0,0,0,0,0,0
LINC01141,0,0,0,0,0,0,0
CAMK2N1,423,389,216,48,668,394,845
MUL1,308,271,90,16,112,144,226
FAM43B,4,0,0,0,8,2,25
CDA,2,3,0,0,32,5,24
PINK1,423,329,219,36,369,295,425
MIR6084,0,0,0,0,0,0,0
PINK1-AS,7,8,1,0,1,11,11
DDOST,982,879,524,109,412,1274,1077
KIF17,13,10,4,0,12,4,5
SH2D5,13,12,6,4,28,11,10
HP1BP3,1239,804,431,62,493,505,915
EIF4G3,960,630,343,59,367,431,573
MIR1256,0,0,0,0,0,0,0
ECE1,576,572,248,121,470,377,560
ECE1-AS1,2,0,3,0,0,0,0
NBPF3,15,19,13,2,28,37,16
ALPL,73,345,1137,1,124,10,233
RAP1GAP,5,9,1,0,2,3,2
USP48,587,344,199,37,248,277,304
LDLRAD2,5,4,0,0,3,3,1
HSPG2,3326,1737,901,212,1112,2052,2069
CELA3B,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0
LINC01635,3,2,1,0,0,3,3
LINC00339,40,29,23,3,21,20,52
CDC42,2964,2017,1466,214,1419,2360,3158
WNT4,22,7,0,0,8,427,35
MIR4418,0,0,0,0,0,0,0
ZBTB40,167,120,63,20,80,114,88
EPHA8,0,0,0,0,0,2,0
MIR6127,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0
EPHB2,46,167,137,12,242,240,450
MIR4684,0,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0,0
LACTBL1,0,0,0,0,0,0,0
TEX46,0,0,0,0,0,0,0
KDM1A,399,270,174,22,150,158,322
MIR3115,0,0,0,0,0,0,0
LUZP1,1098,766,310,100,399,539,589
HTR1D,10,6,0,1,3,4,5
LINC01355,9,20,34,3,16,46,51
HNRNPR,1374,841,469,79,447,497,949
ZNF436,80,42,49,4,16,29,50
ZNF436-AS1,30,31,17,2,10,20,46
TCEA3,214,125,28,2,40,7,24
ASAP3,44,36,91,5,29,38,36
E2F2,0,0,0,0,0,0,0
LOC101928163,0,0,0,0,0,0,0
ID3,5608,1138,219,455,905,2843,1788
MDS2,0,0,0,0,0,0,0
RPL11,8740,10107,10368,1097,4383,8641,15155
ELOA,516,318,132,41,210,254,287
ELOA-AS1,23,31,13,2,8,13,14
PITHD1,270,175,141,26,115,225,248
LYPLA2,348,230,131,43,150,321,341
GALE,132,91,51,26,45,100,140
HMGCL,193,172,153,21,111,150,189
FUCA1,183,159,173,30,143,208,127
CNR2,0,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0,0
PNRC2,448,250,194,30,105,199,370
SRSF10,1003,712,437,87,417,515,846
MYOM3,0,1,5,0,3,2,4
IL22RA1,0,0,0,0,0,0,0
IFNLR1,1,4,2,2,2,0,0
LINC02800,0,0,0,0,0,0,0
GRHL3,3,0,0,0,1,1,1
STPG1,66,59,22,6,28,21,31
NIPAL3,647,701,143,49,316,433,411
RCAN3AS,0,1,0,0,0,0,0
RCAN3,134,93,47,10,60,27,74
NCMAP-DT,1,0,0,0,0,0,0
NCMAP,0,0,0,0,0,1,0
SRRM1,1130,836,361,91,368,505,822
CLIC4,2255,1957,1391,98,1765,1139,3375
RUNX3,6,4,9,0,13,0,0
MIR6731,0,0,0,0,0,0,0
MIR4425,0,0,0,0,0,0,0
SYF2,809,522,313,72,286,421,614
RSRP1,778,442,443,86,299,533,804
RHD,0,0,1,1,0,0,1
TMEM50A,1713,1795,1059,151,1069,1477,1951
RHCE,3,9,1,0,7,9,3
MACO1,424,254,121,53,175,234,242
LDLRAP1,96,85,54,10,75,156,110
MAN1C1,10,12,67,0,63,75,60
SELENON,428,328,428,25,227,289,900
MTFR1L,342,252,147,29,159,184,318
LOC646471,0,1,1,0,2,1,2
AUNIP,0,4,2,0,0,2,2
PAQR7,77,109,77,5,56,211,348
STMN1,1984,898,808,247,591,432,739
MIR3917,0,0,0,0,0,0,0
PAFAH2,191,123,44,4,112,38,86
EXTL1,64,107,12,0,431,6,237
SLC30A2,1,1,0,0,0,0,2
TRIM63,0,0,2,0,0,0,3
PDIK1L,36,29,25,2,19,19,35
FAM110D,1,2,5,0,2,0,2
C1orf232,0,0,0,0,0,0,0
ZNF593,475,503,365,60,349,581,916
CNKSR1,5,2,1,0,2,5,2
CATSPER4,0,0,0,0,0,0,0
ZPLD2P,6,8,0,0,1,1,13
CEP85,66,38,17,6,20,19,37
SH3BGRL3,4152,4882,3732,802,3628,6561,11106
UBXN11,68,54,24,5,29,43,72
CD52,0,0,0,0,0,0,1
CRYBG2,0,0,0,1,0,0,1
ZNF683,0,0,0,0,0,0,0
LIN28A,0,0,0,0,0,0,0
DHDDS,193,164,71,13,110,153,198
DHDDS-AS1,0,0,0,0,0,0,0
HMGN2,2162,1693,888,110,745,987,1507
RPS6KA1,15,16,2,6,7,3,13
MIR1976,0,0,0,0,0,0,0
LOC101928728,1,3,2,0,1,2,2
