H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,4,13,8,23,17,26,2
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,60,61,32,93,24,129,16
LOC102725121,0,0,0,0,0,0,0
FAM138D,2,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,1,0,0
LOC100288069,0,3,3,2,2,0,0
FAM87B,0,0,0,0,0,0,0
LINC00115,1,23,5,3,1,13,1
LINC01128,70,113,54,110,41,89,17
FAM41C,16,11,10,23,6,21,4
LINC02593,0,0,1,0,0,0,0
SAMD11,3,5,1,0,3,1,4
NOC2L,603,510,308,667,283,720,190
KLHL17,48,67,28,66,41,83,12
PLEKHN1,15,30,5,15,13,19,2
PERM1,0,0,0,0,0,0,0
HES4,26,60,4,13,159,23,11
ISG15,680,722,105,1026,288,918,195
AGRN,275,311,93,324,109,316,93
LOC100288175,23,29,2,17,50,20,4
RNF223,0,0,0,0,0,0,0
C1orf159,32,36,15,39,15,62,10
LINC01342,0,1,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,2,0,3,0,2,0
TNFRSF18,7,23,4,11,4,14,2
TNFRSF4,0,1,0,1,0,2,0
SDF4,422,421,330,494,230,657,179
B3GALT6,397,468,204,404,150,425,79
C1QTNF12,12,33,11,26,20,51,4
UBE2J2,781,836,521,893,403,1019,213
SCNN1D,5,9,2,1,0,6,1
ACAP3,64,61,27,70,34,98,28
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,622,618,309,603,287,776,139
INTS11,593,519,262,475,256,751,146
MIR6727,0,0,0,0,0,0,0
CPTP,104,94,64,79,71,113,22
TAS1R3,0,1,0,0,0,0,0
DVL1,211,209,95,291,104,299,41
MIR6808,0,0,0,0,0,0,0
MXRA8,13,38,14,31,15,76,4
AURKAIP1,6229,6338,2659,6040,2803,6361,1494
CCNL2,404,418,249,450,236,461,120
MRPL20-AS1,166,231,105,211,152,279,55
MRPL20,5632,4087,1681,4840,2084,4039,1106
ANKRD65,7,12,4,29,9,14,10
TMEM88B,0,0,0,0,0,0,0
LINC01770,31,62,0,23,2,75,10
VWA1,686,333,216,520,230,361,160
ATAD3C,7,9,3,16,9,21,4
ATAD3B,928,425,360,632,371,421,199
ATAD3A,538,336,354,502,228,544,156
TMEM240,36,43,17,22,15,47,2
SSU72,3446,3524,1642,3131,1426,4228,818
FNDC10,208,275,133,237,127,556,56
LOC105378586,1,0,0,0,0,0,0
MIB2,132,172,63,322,299,185,85
MMP23B,1,1,0,0,1,3,1
MMP23A,0,1,0,0,0,0,0
CDK11B,198,221,81,256,124,184,30
SLC35E2B,34,61,18,28,21,51,13
CDK11A,185,225,81,170,89,111,37
SLC35E2A,46,126,39,64,15,104,16
NADK,171,227,134,241,76,426,59
GNB1,1389,1405,508,1505,711,1691,341
CALML6,0,0,0,1,1,0,0
TMEM52,206,233,97,208,50,330,53
CFAP74,1,1,1,0,0,0,0
GABRD,4,6,2,11,1,6,1
LOC105378591,0,0,0,0,0,0,0
PRKCZ,204,206,107,205,103,257,50
PRKCZ-AS1,9,0,3,9,6,7,3
FAAP20,2216,2250,535,1896,777,2210,457
SKI,148,172,43,191,50,209,65
MORN1,7,8,3,12,5,10,2
LOC100129534,0,5,1,1,2,2,1
RER1,1661,1688,923,1368,809,1336,453
PEX10,347,236,158,337,173,293,67
PLCH2,0,0,1,0,0,0,0
PANK4,16,26,11,18,13,74,8
HES5,1,3,2,0,5,2,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,0,1,0,0,0,1,1
LOC100996583,0,1,0,1,0,0,0
PRXL2B,265,160,141,210,109,190,33
MMEL1,0,2,0,1,0,2,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,1,1,0,0,0
PRDM16-DT,0,1,2,0,1,0,0
PRDM16,3,1,2,2,1,2,1
MIR4251,0,0,0,0,0,0,0
ARHGEF16,155,127,62,126,103,107,41
MEGF6,22,36,27,38,13,25,15
MIR551A,0,0,0,0,0,0,0
TPRG1L,138,117,81,103,71,129,33
WRAP73,212,303,120,215,102,325,69
TP73,4,29,2,7,1,21,0
TP73-AS1,78,136,47,78,34,146,16
CCDC27,0,0,0,0,0,0,0
SMIM1,50,110,26,62,12,76,10
LRRC47,337,331,315,435,283,694,95
CEP104,128,98,75,129,68,136,26
DFFB,42,52,42,61,19,83,17
C1orf174,341,365,204,450,176,746,118
LINC01134,1,0,0,1,0,1,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,30,25,44,25,3,42,25
MIR4689,0,0,0,0,0,0,0
NPHP4,79,26,16,91,52,89,38
KCNAB2,5,20,2,16,1,23,1
CHD5,1,8,5,6,23,10,2
RPL22,18888,24936,6210,22409,8438,19981,5064
LOC102724450,0,3,1,1,0,9,1
