H1.1,H1.2,H2.1,H4.1,H6.1
DDX11L1,0,0,0,0,0
WASH7P,0,0,20,1,4
MIR6859-1,0,0,0,0,0
MIR6859-2,0,0,0,0,0
MIR6859-3,0,0,0,0,0
MIR6859-4,0,0,0,0,0
MIR1302-10,0,0,0,0,0
MIR1302-11,0,0,0,0,0
MIR1302-2,0,0,0,0,0
MIR1302-9,0,0,0,0,0
FAM138A,0,0,0,0,0
FAM138C,0,0,0,0,0
FAM138F,0,0,0,0,0
OR4F5,0,0,0,0,0
LOC729737,3,0,9,2,20
LOC102725121,0,0,0,0,0
FAM138D,0,0,0,0,0
OR4F16,0,0,0,0,0
OR4F29,0,0,0,0,0
OR4F3,0,0,0,0,0
LOC100132062,0,0,0,0,0
LOC100132287,0,0,0,0,0
LOC101928626,0,0,0,0,0
MIR12136,0,0,0,0,0
LOC100133331,0,0,0,0,0
LOC100288069,0,0,2,1,0
FAM87B,0,0,1,0,0
LINC00115,1,0,4,4,1
LINC01128,7,0,79,7,14
FAM41C,0,0,19,1,4
LINC02593,0,0,5,1,0
SAMD11,4,0,36,1,29
NOC2L,11,1,308,42,137
KLHL17,3,0,44,6,8
PLEKHN1,1,0,1,2,4
PERM1,0,0,0,0,0
HES4,4,0,944,90,43
ISG15,27,6,182,16,110
AGRN,11,4,114,14,85
LOC100288175,0,0,3,0,2
RNF223,0,0,0,0,0
C1orf159,1,2,28,5,15
LINC01342,0,0,0,0,0
MIR200B,0,0,0,0,0
MIR200A,0,0,0,0,0
MIR429,0,0,0,0,0
TTLL10,0,0,0,0,0
TNFRSF18,0,0,0,0,7
TNFRSF4,0,1,1,0,0
SDF4,10,3,370,39,158
B3GALT6,20,4,325,24,100
C1QTNF12,0,1,2,1,6
UBE2J2,26,9,534,60,173
SCNN1D,0,0,2,1,2
ACAP3,0,0,69,8,25
MIR6726,0,0,0,0,0
SNORD167,0,0,0,0,0
PUSL1,16,2,308,27,104
INTS11,12,0,250,34,100
MIR6727,0,0,0,0,0
CPTP,2,1,88,12,26
TAS1R3,0,0,0,0,0
DVL1,3,2,89,12,43
MIR6808,0,0,0,0,0
MXRA8,6,0,61,6,13
AURKAIP1,154,33,2041,332,1093
CCNL2,15,0,334,46,94
MRPL20-AS1,7,0,153,14,44
MRPL20,110,20,1452,235,699
ANKRD65,0,0,4,1,2
TMEM88B,0,0,0,0,0
LINC01770,0,0,0,0,1
VWA1,2,2,33,4,84
ATAD3C,1,0,1,1,1
ATAD3B,14,2,191,57,101
ATAD3A,21,2,257,45,107
TMEM240,0,0,33,1,1
SSU72,105,16,1621,197,672
FNDC10,6,2,104,30,17
LOC105378586,0,0,0,0,0
MIB2,4,0,91,12,53
MMP23B,0,0,2,0,0
MMP23A,0,0,0,0,0
CDK11B,8,4,124,15,22
SLC35E2B,0,1,20,6,8
CDK11A,2,1,87,13,28
SLC35E2A,3,2,36,5,14
NADK,5,1,141,14,44
GNB1,41,9,683,144,277
CALML6,0,0,1,0,0
TMEM52,3,1,29,2,32
CFAP74,0,0,1,0,0
GABRD,0,0,3,0,0
LOC105378591,0,0,0,0,0
PRKCZ,2,1,35,4,31
PRKCZ-AS1,1,0,7,1,2
FAAP20,59,16,529,121,362
SKI,7,0,57,12,22
MORN1,0,0,12,0,9
LOC100129534,0,0,0,0,0
RER1,41,12,815,118,347
PEX10,8,3,224,26,60
PLCH2,0,0,0,0,0
PANK4,0,0,25,1,11
HES5,0,3,124,2,1
TNFRSF14-AS1,0,0,0,0,0
TNFRSF14,0,0,0,1,1
LOC100996583,0,0,0,0,0
PRXL2B,7,0,160,20,16
MMEL1,0,0,0,0,0
TTC34,0,0,0,0,0
ACTRT2,0,0,0,0,0
PRDM16-DT,0,0,5,1,0
PRDM16,0,0,5,0,0
MIR4251,0,0,0,0,0
ARHGEF16,2,0,8,0,38
MEGF6,1,0,14,1,7
MIR551A,0,0,0,0,0
TPRG1L,4,1,92,16,56
WRAP73,5,2,164,16,33
TP73,0,0,6,1,1
TP73-AS1,7,2,50,2,11
CCDC27,0,0,0,0,0
SMIM1,1,3,21,5,10
LRRC47,14,1,271,40,52
CEP104,6,1,74,13,31
DFFB,1,1,25,3,5
C1orf174,15,1,329,32,86
LINC01134,0,0,0,0,0
LINC01346,0,0,0,0,0
LINC01345,0,0,0,0,0
LINC01777,0,0,1,0,0
LINC01646,0,0,0,0,0
AJAP1,3,0,15,0,19
MIR4689,0,0,0,0,0
NPHP4,1,1,29,2,5
KCNAB2,0,1,7,0,5
CHD5,0,0,3,5,1
RPL22,493,134,5615,1047,2826
LOC102724450,0,0,1,0,0
RNF207,0,0,0,0,1
ICMT,13,3,238,23,88
LINC00337,1,0,3,3,3
HES3,0,0,3,0,0
GPR153,1,1,127,4,1
ACOT7,30,7,511,64,126
HES2,0,0,0,0,5
ESPN,0,1,9,0,27
MIR4252,0,0,0,0,0
TNFRSF25,1,0,15,1,5
PLEKHG5,0,0,11,3,13
NOL9,5,2,201,18,37
TAS1R1,0,0,1,0,0
ZBTB48,2,1,56,10,19
KLHL21,1,0,35,5,19
PHF13,3,0,78,9,30
THAP3,6,2,118,22,28
DNAJC11,6,1,123,11,47
LINC01672,0,0,0,0,0
CAMTA1-DT,0,0,0,0,2
CAMTA1,65,22,1273,172,338
CAMTA1-AS2,0,0,0,0,0
VAMP3,14,1,171,31,68
PER3,0,2,18,0,4
UTS2,0,0,0,0,0
TNFRSF9,0,0,0,0,0
PARK7,360,55,4023,580,1600
ERRFI1,2,0,47,57,43
LINC01714,0,0,0,0,0
SLC45A1,3,0,2,0,0
RERE,16,5,299,32,62
RERE-AS1,0,0,0,0,0
SNORD128,0,0,0,0,0
ENO1,449,96,6371,857,4122
MIR6728,0,0,0,0,0
ENO1-AS1,1,0,9,0,1
CA6,0,0,0,0,0
SLC2A7,0,0,0,0,0
SLC2A5,0,0,0,0,0
GPR157,0,1,2,2,1
MIR34AHG,0,0,13,1,2
MIR34A,0,0,0,0,0
LNCTAM34A,1,1,16,4,1
H6PD,1,2,23,1,7
SPSB1,0,0,32,15,7
LINC02606,0,0,2,0,0
SLC25A33,21,7,457,64,124
TMEM201,4,1,69,4,10
PIK3CD,0,0,1,5,4
PIK3CD-AS1,0,0,0,0,0
PIK3CD-AS2,2,1,5,1,20
CLSTN1,11,11,270,38,67
CTNNBIP1,43,14,998,102,232
LZIC,12,3,334,47,100
NMNAT1,0,0,50,5,14
TMEM274P,0,0,0,0,0
MIR5697,0,0,0,0,0
RBP7,2,0,3,5,8
UBE4B,7,1,118,10,32
KIF1B,8,13,456,44,70
RNU6-1,0,0,0,0,0
RNU6-2,0,0,0,0,0
RNU6-7,0,0,0,0,0
RNU6-8,0,0,0,0,0
RNU6-9,0,0,0,0,0
PGD,50,14,796,99,339
CENPS,17,2,166,18,55
CENPS-CORT,0,0,26,1,3
CORT,0,0,3,0,0
DFFA,22,9,328,59,161
PEX14,1,0,77,10,27
CASZ1,0,0,66,2,5
C1orf127,0,0,0,0,0
TARDBP,17,2,229,69,98
MASP2,0,0,0,0,0
SRM,165,22,1953,276,734
EXOSC10,14,3,145,21,45
EXOSC10-AS1,4,0,16,3,10
MTOR,9,2,117,15,32
MTOR-AS1,0,0,0,0,0
ANGPTL7,0,0,1,2,0
UBIAD1,4,1,89,10,28
DISP3,0,0,14,0,4
LINC01647,0,0,0,0,1
FBXO2,7,6,41,5,189
FBXO44,1,0,38,2,13
FBXO6,0,0,12,0,19
MAD2L2,31,7,636,67,155
DRAXIN,4,1,216,17,16
AGTRAP,39,8,552,53,131
C1orf167,0,0,0,0,2
C1orf167-AS1,0,0,0,0,0
MTHFR,2,0,38,7,18
CLCN6,2,0,27,3,8
NPPA-AS1,0,0,0,0,0
NPPA,0,0,0,0,3
NPPB,243,0,353,628,339
RNU5E-1,0,0,0,0,0
KIAA2013,17,0,133,28,85
PLOD1,2,2,45,5,39
MFN2,1,1,82,13,23
MIIP,25,4,327,45,135
MIR6729,0,0,0,0,0
TNFRSF8,0,0,0,0,1
MIR7846,0,0,0,0,0
TNFRSF1B,0,0,0,0,3
MIR4632,0,0,0,0,0
VPS13D,0,0,25,4,7
SNORA59A,0,0,0,0,0
SNORA59B,0,0,0,0,0
DHRS3,1,0,4,1,6
