H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0
WASH7P,8,4,2,1,32,2
MIR6859-1,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0
LOC729737,7,5,1,3,61,26
LOC102725121,0,0,1,0,0,0
FAM138D,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0
LOC100133331,0,0,0,0,1,0
LOC100288069,1,0,0,0,2,0
FAM87B,0,0,0,0,0,1
LINC00115,5,3,2,0,12,3
LINC01128,23,12,8,2,48,23
FAM41C,8,8,3,1,33,7
LINC02593,0,2,0,0,9,1
SAMD11,9,13,13,0,110,4
NOC2L,88,59,39,17,269,70
KLHL17,19,12,7,4,81,25
PLEKHN1,11,1,3,0,14,15
PERM1,0,0,0,0,0,0
HES4,498,53,341,51,420,188
ISG15,500,121,356,39,585,151
AGRN,311,51,31,34,312,186
LOC100288175,4,2,10,2,5,12
RNF223,0,0,0,0,0,0
C1orf159,9,4,8,0,27,12
LINC01342,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR429,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0
TNFRSF18,1,0,1,1,2,1
TNFRSF4,1,0,0,0,1,2
SDF4,446,215,161,53,1989,567
B3GALT6,193,112,72,21,479,132
C1QTNF12,9,3,3,0,11,7
UBE2J2,305,112,164,27,568,215
SCNN1D,7,1,0,0,29,8
ACAP3,58,32,23,4,155,67
MIR6726,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0
PUSL1,97,47,42,9,200,83
INTS11,126,63,34,16,257,108
MIR6727,0,0,0,0,0,0
CPTP,88,29,30,10,126,44
TAS1R3,3,0,1,0,11,2
DVL1,101,48,34,22,210,65
MIR6808,0,0,0,0,0,0
MXRA8,568,51,33,119,246,294
AURKAIP1,1049,613,501,116,2652,1105
CCNL2,189,77,56,30,622,207
MRPL20-AS1,56,23,23,4,137,35
MRPL20,792,357,229,84,1885,698
ANKRD65,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0
VWA1,4,5,1,0,5,5
ATAD3C,1,0,0,0,1,1
ATAD3B,24,32,5,2,93,32
ATAD3A,74,54,24,12,226,65
TMEM240,6,11,4,3,26,14
SSU72,989,489,415,102,2464,835
FNDC10,40,41,24,17,189,88
LOC105378586,0,1,0,0,1,0
MIB2,98,51,30,16,287,97
MMP23B,20,2,0,0,30,0
MMP23A,3,0,0,0,2,0
CDK11B,61,24,16,4,59,23
SLC35E2B,7,4,6,0,26,9
CDK11A,42,19,17,3,49,26
SLC35E2A,18,15,9,1,48,32
NADK,120,45,39,7,249,92
GNB1,720,296,187,69,1452,450
CALML6,1,1,0,0,1,1
TMEM52,1,0,3,0,3,2
CFAP74,0,0,0,0,0,0
GABRD,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0
PRKCZ,5,0,12,1,13,4
PRKCZ-AS1,7,0,1,2,12,6
FAAP20,439,198,116,30,805,506
SKI,96,40,36,9,218,68
MORN1,2,3,1,1,13,5
LOC100129534,2,0,0,0,4,1
RER1,704,386,262,95,2088,704
PEX10,90,55,27,8,167,67
PLCH2,2,0,2,0,2,2
PANK4,25,6,3,5,54,20
HES5,1,0,4,0,3,0
TNFRSF14-AS1,0,0,0,0,0,0
TNFRSF14,0,0,0,0,0,0
LOC100996583,0,0,0,0,0,0
PRXL2B,27,15,13,3,50,41
MMEL1,0,0,0,0,0,0
TTC34,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
PRDM16-DT,3,1,4,1,0,0
PRDM16,16,2,8,2,0,6
MIR4251,0,0,0,0,0,0
ARHGEF16,0,1,3,0,4,2
MEGF6,51,18,27,0,37,29
MIR551A,0,0,0,0,0,0
TPRG1L,153,55,75,25,383,140
WRAP73,56,30,15,9,166,62
TP73,0,1,0,0,0,1
TP73-AS1,40,14,9,1,49,18
CCDC27,0,0,0,0,0,0
SMIM1,5,5,7,1,14,11
LRRC47,138,36,58,16,291,73
CEP104,72,33,26,14,136,47
DFFB,14,10,1,1,23,7
C1orf174,98,39,39,14,290,91
LINC01134,0,0,0,0,0,0
LINC01346,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0
NPHP4,9,1,3,1,24,9
KCNAB2,5,3,4,1,8,9
CHD5,5,0,3,1,12,6
RPL22,3143,2133,1075,269,6230,3042
LOC102724450,0,3,2,1,3,2
RNF207,11,0,0,3,30,23
ICMT,138,43,33,30,331,114
LINC00337,0,0,0,0,2,0
HES3,0,0,0,0,0,0
GPR153,10,3,4,0,12,8
ACOT7,126,65,69,22,210,124
HES2,0,0,2,0,0,0
ESPN,0,0,0,0,0,0
MIR4252,0,0,0,0,0,0
TNFRSF25,18,9,3,3,37,18
PLEKHG5,32,12,9,5,43,20
NOL9,98,36,22,12,186,46
TAS1R1,1,0,0,0,0,0
ZBTB48,31,23,17,0,76,29
KLHL21,98,24,41,11,210,94
PHF13,30,11,14,3,74,45
THAP3,104,36,42,10,214,65
DNAJC11,50,29,15,7,175,55
LINC01672,0,0,0,0,0,0
CAMTA1-DT,0,0,0,0,0,0
CAMTA1,376,208,175,45,1216,466
CAMTA1-AS2,0,0,0,0,0,0
VAMP3,230,74,87,18,657,220
PER3,8,1,9,0,5,3
UTS2,0,0,0,0,0,0
TNFRSF9,0,0,0,0,0,1
PARK7,2124,1007,716,163,4208,1635
ERRFI1,218,93,98,21,405,277
LINC01714,1,0,0,0,0,0
SLC45A1,8,2,8,0,31,13
RERE,138,38,89,15,523,142
RERE-AS1,1,0,0,0,0,1
SNORD128,0,0,0,0,0,0
ENO1,1069,1202,544,150,3028,1700
MIR6728,0,0,0,0,0,0
ENO1-AS1,2,3,0,0,8,2
CA6,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0
SLC2A5,0,0,0,0,103,7
GPR157,17,1,2,1,19,7
MIR34AHG,29,6,2,1,63,26
MIR34A,0,0,0,0,0,0
LNCTAM34A,74,18,15,2,73,27
H6PD,54,40,6,4,136,60
SPSB1,268,35,29,16,519,71
LINC02606,4,1,0,0,12,1
