H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,1,12,9,1,0,4,6
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,4,11,5,0,0,3,30
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,1,0,1,0,0,0,0
FAM87B,0,0,0,0,0,0,0
LINC00115,0,16,4,0,0,1,6
LINC01128,4,72,35,1,3,3,46
FAM41C,1,12,5,0,0,2,15
LINC02593,0,0,4,0,0,0,0
SAMD11,3,11,42,1,4,13,16
NOC2L,21,209,143,14,9,17,158
KLHL17,9,41,15,2,1,4,50
PLEKHN1,1,6,3,0,1,2,31
PERM1,0,0,0,0,0,0,1
HES4,140,780,209,53,37,25,531
ISG15,169,5026,338,388,73,82,390
AGRN,72,624,110,13,19,25,480
LOC100288175,4,25,1,0,2,0,20
RNF223,0,0,0,0,0,0,0
C1orf159,0,27,11,0,0,5,27
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,1,21,0,0,0,0,1
TNFRSF4,0,1,1,0,0,0,4
SDF4,148,1145,455,53,53,225,1455
B3GALT6,53,403,214,19,18,31,324
C1QTNF12,2,30,1,0,0,0,8
UBE2J2,70,695,258,26,16,37,379
SCNN1D,3,11,5,0,0,0,15
ACAP3,15,119,49,5,4,10,117
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,29,239,106,12,6,16,190
INTS11,44,290,137,11,10,12,217
MIR6727,0,0,0,0,0,0,0
CPTP,16,121,65,10,4,12,136
TAS1R3,0,1,0,0,0,0,5
DVL1,29,204,96,21,18,11,147
MIR6808,0,0,0,0,0,0,0
MXRA8,149,415,43,17,110,37,419
AURKAIP1,350,2884,1457,124,115,258,2314
CCNL2,51,451,123,17,20,14,406
MRPL20-AS1,11,128,43,5,3,7,92
MRPL20,261,1765,838,78,89,179,1661
ANKRD65,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,1,30,8,0,0,1,15
ATAD3C,0,2,1,0,0,0,2
ATAD3B,12,79,73,4,9,2,74
ATAD3A,31,169,137,9,15,20,123
TMEM240,4,27,11,0,1,5,21
SSU72,428,2482,1116,131,139,235,1826
FNDC10,20,147,131,21,19,31,113
LOC105378586,0,1,0,0,0,0,0
MIB2,30,202,76,8,10,17,221
MMP23B,5,16,0,0,0,1,9
MMP23A,0,5,0,0,0,3,0
CDK11B,23,94,56,3,7,3,37
SLC35E2B,0,31,6,0,1,1,22
CDK11A,15,104,40,4,6,2,40
SLC35E2A,2,39,20,5,3,0,60
NADK,26,307,118,10,10,17,166
GNB1,243,1673,614,77,82,118,1297
CALML6,1,1,1,0,0,0,1
TMEM52,1,10,4,1,0,0,4
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,0,6,1,3,0,1,6
PRKCZ-AS1,1,10,2,0,1,1,8
FAAP20,195,1203,410,76,46,123,1203
SKI,24,219,90,4,4,5,138
MORN1,5,3,4,0,2,0,6
LOC100129534,0,3,0,0,0,2,1
RER1,234,1881,777,73,88,237,1857
PEX10,30,189,97,10,8,24,103
PLCH2,2,4,2,0,0,0,5
PANK4,6,49,16,2,1,1,30
HES5,0,2,0,0,0,0,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,0,4,0,0,0,0,1
LOC100996583,0,1,0,0,0,0,0
PRXL2B,6,74,36,5,6,4,55
MMEL1,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,3,6,1,2,2,0,0
PRDM16,3,16,6,2,0,0,0
MIR4251,0,0,0,0,0,0,0
ARHGEF16,2,6,7,0,0,0,0
MEGF6,10,51,33,15,1,1,32
MIR551A,0,0,0,0,0,0,0
TPRG1L,43,340,99,20,20,29,278
WRAP73,15,144,59,2,2,2,84
TP73,0,0,1,0,0,0,0
TP73-AS1,4,47,22,5,0,3,38
CCDC27,0,0,0,0,0,0,0
SMIM1,1,25,5,4,1,2,27
LRRC47,32,253,86,10,10,10,135
CEP104,19,142,47,6,4,6,96
DFFB,1,14,9,1,1,0,20
C1orf174,19,263,106,3,9,15,183
LINC01134,0,0,2,0,0,0,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0
NPHP4,0,15,8,1,1,0,18
KCNAB2,1,16,6,1,0,0,22
CHD5,0,10,0,3,0,1,3
RPL22,1543,7960,4461,540,435,1131,6425
LOC102724450,0,1,2,0,0,0,7
RNF207,7,42,3,0,0,2,35
ICMT,53,322,127,13,12,22,220
LINC00337,0,1,0,0,0,0,0
HES3,0,0,0,0,0,0,0
GPR153,3,19,6,2,0,1,18
ACOT7,48,321,194,58,22,24,298
HES2,1,1,1,0,0,0,1
ESPN,0,0,0,0,0,0,0
MIR4252,0,0,0,0,0,0,0
TNFRSF25,1,40,22,0,0,2,46
PLEKHG5,8,59,31,4,2,1,62
NOL9,18,184,80,5,7,6,89
TAS1R1,0,0,0,0,0,0,0
ZBTB48,8,69,17,1,0,3,29
KLHL21,19,172,61,1,7,7,158
PHF13,4,82,39,1,2,2,69
THAP3,19,188,79,9,6,13,92
DNAJC11,21,130,74,3,4,9,100
LINC01672,0,0,0,0,0,0,0
CAMTA1-DT,0,0,0,0,0,0,0
CAMTA1,155,1109,460,82,51,112,1145
CAMTA1-AS2,0,0,0,0,0,0,0
VAMP3,130,491,179,28,26,75,532
PER3,1,23,4,0,0,0,12
UTS2,0,1,0,0,0,0,0
TNFRSF9,0,0,0,0,0,0,2
PARK7,979,5908,2301,294,276,604,3907
ERRFI1,58,666,209,9,11,16,691
LINC01714,0,3,0,0,0,0,1
SLC45A1,9,28,6,3,2,1,9
RERE,37,219,85,19,13,21,278
RERE-AS1,0,0,1,0,0,0,0
SNORD128,0,0,0,0,0,0,0
ENO1,563,2626,3501,217,190,350,4838
MIR6728,0,0,0,0,0,0,0
ENO1-AS1,1,9,3,0,0,0,8
CA6,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0
SLC2A5,0,6,0,0,0,2,34
GPR157,2,13,4,0,1,0,17
MIR34AHG,5,51,14,0,2,2,38
MIR34A,0,0,0,0,0,0,0
LNCTAM34A,6,98,22,3,1,4,59
H6PD,7,120,60,1,0,7,73
SPSB1,63,234,65,2,9,18,164
LINC02606,3,17,6,0,0,1,4
SLC25A33,25,235,83,9,8,13,116
TMEM201,2,30,10,0,2,1,22
PIK3CD,1,38,18,0,0,2,47
PIK3CD-AS1,0,0,0,0,0,0,0
PIK3CD-AS2,8,98,25,2,2,4,34
CLSTN1,49,465,197,8,13,40,627
CTNNBIP1,53,380,144,27,27,46,361
LZIC,53,464,144,12,17,24,278
NMNAT1,10,115,55,2,2,4,69
TMEM274P,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0
RBP7,4,4,7,1,1,0,0
UBE4B,14,138,49,0,5,12,99
KIF1B,23,294,112,11,8,10,209
RNU6-1,0,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0,0
PGD,26,222,295,16,30,70,362
CENPS,11,127,54,6,9,5,52
CENPS-CORT,1,2,0,0,0,0,3
CORT,1,2,1,0,0,0,0
DFFA,42,284,186,11,15,31,184
PEX14,21,93,37,2,1,10,62
CASZ1,4,8,0,0,0,1,4
C1orf127,0,1,0,0,0,0,1
TARDBP,51,208,81,9,10,20,180
MASP2,0,0,0,0,0,0,0
SRM,489,2451,1340,200,176,431,2108
EXOSC10,18,160,53,2,2,11,67
EXOSC10-AS1,5,30,6,3,1,3,20
MTOR,26,150,58,4,6,6,104
MTOR-AS1,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,0
UBIAD1,6,86,45,0,3,3,59
DISP3,0,0,0,0,0,0,0
LINC01647,0,0,0,0,0,0,0
FBXO2,18,121,26,14,9,16,726
FBXO44,16,80,21,1,3,2,75
FBXO6,20,119,22,6,2,11,52
MAD2L2,29,185,172,9,10,17,140
DRAXIN,0,1,9,0,0,0,0
AGTRAP,41,448,213,20,16,42,534
C1orf167,0,0,0,0,0,0,0
C1orf167-AS1,0,0,0,0,0,0,0
MTHFR,4,54,16,0,2,2,48
CLCN6,1,41,15,0,0,1,27
NPPA-AS1,0,1,0,0,0,0,0
NPPA,0,0,0,0,0,0,0
NPPB,0,15,0,32,74,170,179
RNU5E-1,0,0,0,0,0,0,1
KIAA2013,37,271,115,9,10,31,272
PLOD1,56,449,269,10,31,61,1038
MFN2,23,207,73,6,9,5,141
MIIP,13,134,77,5,7,7,94
MIR6729,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,1,0
MIR7846,0,0,0,0,0,0,0
TNFRSF1B,0,1,1,0,0,0,0
MIR4632,0,0,0,0,0,0,0
VPS13D,8,108,33,1,0,1,57
SNORA59A,0,0,0,0,0,0,0
SNORA59B,0,0,0,0,0,0,0
DHRS3,1,112,28,0,1,66,360
MIR6730,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0
