H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,27,14,14,0,0,11,3
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,15,25,12,0,0,47,35
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,0,1,0,0,0,0,0
FAM87B,1,1,0,0,0,0,0
LINC00115,3,13,4,0,0,11,7
LINC01128,54,81,45,1,0,34,25
FAM41C,12,15,10,0,0,25,9
LINC02593,1,0,1,0,0,7,1
SAMD11,22,15,27,1,0,81,4
NOC2L,157,258,144,3,3,175,79
KLHL17,33,39,25,2,4,48,35
PLEKHN1,9,14,2,0,0,10,13
PERM1,0,1,0,0,0,0,0
HES4,796,812,271,14,17,220,223
ISG15,948,7120,396,52,20,389,230
AGRN,643,804,162,5,8,207,257
LOC100288175,14,16,1,3,1,2,6
RNF223,0,0,0,0,0,0,0
C1orf159,18,25,20,1,0,24,21
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,1,22,0,0,0,0,1
TNFRSF4,2,5,2,0,0,2,1
SDF4,887,1356,853,31,12,1648,1061
B3GALT6,338,396,312,11,11,310,196
C1QTNF12,18,36,12,1,0,8,10
UBE2J2,488,720,349,19,15,351,282
SCNN1D,12,17,15,1,0,21,15
ACAP3,69,135,82,4,0,102,101
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,162,253,148,6,2,151,134
INTS11,265,317,204,5,0,160,127
MIR6727,0,0,0,0,0,0,0
CPTP,113,161,87,1,3,82,66
TAS1R3,3,1,2,0,0,0,3
DVL1,157,225,130,2,7,152,82
MIR6808,0,0,0,0,0,0,0
MXRA8,985,480,137,21,16,151,392
AURKAIP1,1732,3359,2000,55,48,2056,1488
CCNL2,342,573,205,10,3,424,307
MRPL20-AS1,129,164,68,1,2,131,85
MRPL20,1404,2213,1196,47,21,1589,1166
ANKRD65,0,0,0,0,0,0,0
