H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,19,0,20,0,5,6,4
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,19,0,26,1,8,9,25
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,1,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,2,0,2,0,0,1,0
FAM87B,0,0,0,0,0,0,0
LINC00115,1,0,11,0,3,2,4
LINC01128,36,1,47,4,15,7,27
FAM41C,5,0,16,0,5,10,7
LINC02593,0,0,0,0,1,2,0
SAMD11,9,0,19,5,1,33,8
NOC2L,155,3,157,16,39,46,77
KLHL17,47,0,45,2,13,16,27
PLEKHN1,12,0,5,0,1,3,3
PERM1,0,0,0,0,0,0,0
HES4,448,3,277,39,106,97,98
ISG15,708,24,454,277,127,166,166
AGRN,954,5,234,56,208,64,184
LOC100288175,6,0,3,2,0,0,5
RNF223,1,0,0,0,0,0,0
C1orf159,21,0,18,2,6,10,16
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,1,0,0,0,0,0,0
TNFRSF4,1,0,1,0,0,2,1
SDF4,832,9,946,72,281,440,642
B3GALT6,224,3,335,16,72,101,134
C1QTNF12,21,0,16,0,1,2,10
UBE2J2,367,2,373,21,83,149,189
SCNN1D,18,1,17,2,5,3,16
ACAP3,120,0,91,14,28,29,71
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,91,1,176,8,35,50,91
INTS11,198,2,225,20,73,55,101
MIR6727,0,0,0,0,0,0,0
CPTP,97,1,109,7,21,22,49
TAS1R3,1,0,1,0,0,1,0
DVL1,186,2,182,23,105,49,82
MIR6808,0,0,0,0,0,0,0
MXRA8,867,0,234,25,597,53,300
AURKAIP1,1179,7,2065,97,452,701,1099
CCNL2,408,6,292,28,106,130,211
MRPL20-AS1,59,0,93,9,25,33,60
MRPL20,834,3,1159,63,272,505,957
ANKRD65,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,4,0,4,0,0,0,2
ATAD3C,0,0,2,0,1,1,1
ATAD3B,43,0,54,7,19,22,28
ATAD3A,135,0,128,11,42,53,71
TMEM240,6,0,37,0,3,5,9
SSU72,873,2,1849,64,399,696,886
FNDC10,51,0,191,6,39,43,74
LOC105378586,0,0,1,0,0,0,0
MIB2,169,0,171,13,52,61,118
MMP23B,19,0,1,0,0,9,3
MMP23A,3,0,0,0,0,1,0
CDK11B,79,0,52,4,19,11,22
SLC35E2B,21,0,19,0,6,4,13
CDK11A,79,1,56,12,5,15,26
SLC35E2A,31,0,34,3,4,9,26
NADK,246,1,169,19,65,46,89
GNB1,1361,8,944,94,395,276,415
CALML6,0,0,0,0,2,0,4
TMEM52,3,0,4,0,0,0,4
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,1,0,2,2,1,2,1
PRKCZ-AS1,15,0,4,2,6,3,3
FAAP20,542,2,689,38,194,201,517
SKI,292,3,214,27,64,40,75
MORN1,3,0,9,1,1,3,3
LOC100129534,2,0,1,1,0,0,1
RER1,691,5,1219,57,339,586,765
PEX10,101,0,166,13,47,43,83
PLCH2,9,0,1,3,4,0,0
PANK4,49,0,32,1,18,7,22
HES5,2,0,0,0,1,0,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,0,0,0,0,1,0,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,37,0,51,8,23,20,29
MMEL1,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,11,0,4,0,3,0,0
PRDM16,31,0,9,9,6,0,1
MIR4251,0,0,0,0,0,0,0
ARHGEF16,6,1,11,0,4,0,2
MEGF6,162,3,89,21,8,8,27
MIR551A,0,0,0,0,0,0,0
TPRG1L,257,0,204,18,112,96,128
WRAP73,75,0,110,6,26,38,55
TP73,0,0,0,0,0,0,0
TP73-AS1,44,2,58,3,5,10,17
CCDC27,0,0,0,0,0,0,0
SMIM1,12,0,26,4,6,2,10
LRRC47,185,2,173,15,56,52,85
CEP104,148,1,96,12,41,23,59
DFFB,20,0,14,4,2,6,14
C1orf174,128,0,166,4,48,64,105
LINC01134,0,0,1,0,0,0,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
