H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,6,0,11,1,5,14,3
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,4,2,15,1,12,51,21
LOC102725121,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,1,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0
LOC100288069,2,0,1,0,0,2,0
FAM87B,1,0,0,0,0,0,0
LINC00115,1,0,12,0,2,10,5
LINC01128,16,7,28,1,19,64,35
FAM41C,5,1,10,1,1,29,7
LINC02593,0,0,1,0,1,6,0
SAMD11,2,1,31,2,4,78,5
NOC2L,54,21,117,8,48,220,95
KLHL17,16,4,52,2,20,67,49
PLEKHN1,1,2,2,0,2,13,11
PERM1,0,0,0,0,0,0,0
HES4,334,24,274,63,104,272,253
ISG15,357,256,421,173,147,538,219
AGRN,206,104,178,31,250,351,308
LOC100288175,3,0,2,1,2,1,9
RNF223,0,0,0,1,0,0,0
C1orf159,9,1,18,2,9,38,28
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,0,3,0,0,0,0,0
TNFRSF4,0,0,0,0,1,5,1
SDF4,299,104,819,42,310,2114,1038
B3GALT6,129,15,274,25,65,408,256
C1QTNF12,9,4,15,0,0,19,5
UBE2J2,216,37,307,41,78,520,231
SCNN1D,4,2,12,0,3,23,18
ACAP3,27,16,81,6,34,165,107
MIR6726,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0
PUSL1,58,14,135,14,20,208,96
INTS11,99,27,228,12,53,230,147
MIR6727,0,0,0,0,0,0,0
CPTP,48,6,92,12,21,109,68
TAS1R3,0,0,2,0,1,2,0
DVL1,48,14,128,21,93,173,117
MIR6808,0,0,0,0,0,0,0
MXRA8,526,53,248,14,565,283,456
AURKAIP1,676,137,1849,145,390,2487,1528
CCNL2,142,68,250,16,156,612,332
MRPL20-AS1,49,7,71,4,23,144,67
MRPL20,542,79,1142,84,226,1907,1145
ANKRD65,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0
VWA1,4,7,6,0,1,8,4
ATAD3C,0,2,0,0,0,4,1
ATAD3B,12,5,51,2,19,83,51
ATAD3A,52,19,90,9,55,190,85
TMEM240,9,2,28,1,5,22,16
SSU72,758,81,1767,113,301,2213,1132
FNDC10,31,10,165,7,51,228,94
LOC105378586,0,0,0,0,0,1,0
MIB2,72,23,126,10,60,302,160
MMP23B,13,2,0,1,1,34,4
MMP23A,1,0,0,0,0,3,0
CDK11B,47,9,56,5,12,46,31
SLC35E2B,9,5,18,1,2,28,19
CDK11A,38,7,52,4,15,70,25
SLC35E2A,13,3,28,1,8,57,34
NADK,75,41,133,11,62,235,133
GNB1,366,136,723,51,379,1190,806
CALML6,0,0,1,0,2,2,2
TMEM52,3,0,1,1,2,4,1
CFAP74,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0
LOC105378591,0,0,0,0,0,0,0
PRKCZ,0,0,1,4,2,25,2
PRKCZ-AS1,1,2,7,2,3,13,7
FAAP20,276,70,618,46,157,771,802
SKI,48,25,132,9,73,193,147
MORN1,4,0,4,0,0,11,5
LOC100129534,1,0,2,0,1,2,1
RER1,466,86,1112,86,263,2131,1030
PEX10,62,8,146,9,31,183,101
PLCH2,6,1,0,0,3,2,0
PANK4,16,3,30,3,21,64,35
HES5,0,0,1,1,1,0,0
TNFRSF14-AS1,0,0,0,0,0,0,0
TNFRSF14,1,1,0,0,1,1,0
LOC100996583,0,0,0,0,0,0,0
PRXL2B,18,5,30,4,20,57,45
MMEL1,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0
PRDM16-DT,2,1,3,1,1,0,0
PRDM16,4,1,8,1,11,2,0
MIR4251,0,0,0,0,0,0,0
ARHGEF16,1,1,3,0,1,0,2
MEGF6,33,5,50,8,17,28,36
MIR551A,0,0,0,0,0,0,0
TPRG1L,101,25,187,18,95,334,194
WRAP73,40,8,74,5,24,136,79
TP73,0,0,1,0,0,0,0
TP73-AS1,19,4,35,1,14,56,25
CCDC27,0,0,0,0,0,0,0
SMIM1,7,3,36,1,0,32,7
LRRC47,71,25,154,12,60,234,149
CEP104,43,14,73,8,37,102,60
DFFB,13,1,12,0,5,31,9
C1orf174,63,15,157,12,32,210,124
LINC01134,0,0,1,0,0,1,0
LINC01346,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,2,0
MIR4689,0,0,0,0,0,0,0
NPHP4,4,5,5,3,8,23,19
KCNAB2,3,2,10,0,1,5,16
CHD5,1,0,0,1,0,10,0
RPL22,2315,334,7532,275,821,6315,5045
LOC102724450,0,0,5,0,0,5,6
RNF207,10,3,1,1,12,42,26
ICMT,86,37,156,8,119,310,180
LINC00337,0,0,0,0,0,1,0
HES3,0,0,0,0,0,0,0
GPR153,6,1,15,0,6,9,17
ACOT7,53,20,127,27,71,164,241
HES2,1,0,0,1,0,0,0
ESPN,0,0,0,0,0,1,0
MIR4252,0,0,0,0,0,0,0
TNFRSF25,16,3,31,2,8,52,40
PLEKHG5,13,7,54,1,6,45,26
NOL9,60,25,102,8,62,143,83
TAS1R1,0,0,0,0,0,0,0
ZBTB48,19,3,45,3,12,63,31
KLHL21,60,21,107,7,64,145,171
PHF13,31,13,54,4,25,59,68
THAP3,80,7,121,12,15,189,68
DNAJC11,39,10,82,4,29,143,83
LINC01672,0,0,0,0,0,0,0
CAMTA1-DT,0,0,0,0,0,0,1
CAMTA1,316,35,631,37,121,1068,795
CAMTA1-AS2,0,0,0,0,0,0,0
VAMP3,168,31,244,17,102,593,334
PER3,10,3,10,0,4,7,6
UTS2,0,0,0,0,0,0,0
TNFRSF9,0,0,0,0,0,0,2
PARK7,1533,210,3174,245,551,4241,2330
ERRFI1,86,28,362,33,301,341,420
LINC01714,0,0,0,0,1,1,0
SLC45A1,9,3,10,0,6,14,5
RERE,92,20,137,24,60,429,178
RERE-AS1,0,1,0,0,0,2,1
SNORD128,0,0,0,0,0,0,0
ENO1,516,161,2102,148,424,2718,1776
MIR6728,0,0,0,0,0,0,0
ENO1-AS1,2,1,5,0,1,10,3
CA6,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0
SLC2A5,1,0,0,0,4,95,11
GPR157,6,3,9,1,5,19,16
MIR34AHG,17,9,25,1,9,51,23
MIR34A,0,0,0,0,0,0,0
LNCTAM34A,37,2,59,2,10,62,36
H6PD,30,22,161,5,46,107,93
SPSB1,189,13,124,8,78,414,166
LINC02606,3,1,11,0,2,6,3
SLC25A33,68,12,131,12,24,190,96
TMEM201,6,6,29,0,6,47,22
PIK3CD,4,3,40,0,16,38,39
PIK3CD-AS1,0,0,0,0,0,0,0
PIK3CD-AS2,16,6,43,0,5,33,38
CLSTN1,131,83,266,23,192,588,476
CTNNBIP1,81,13,267,25,65,272,188
LZIC,159,36,257,17,66,281,193
NMNAT1,32,7,86,5,17,72,49
TMEM274P,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0
RBP7,0,0,2,0,0,0,0
UBE4B,31,19,113,3,37,121,75
KIF1B,94,30,181,18,72,193,161
RNU6-1,0,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0,0
PGD,63,20,548,9,105,932,270
CENPS,34,6,93,1,23,82,37
CENPS-CORT,0,0,3,0,0,7,1
CORT,0,0,0,0,0,1,0
DFFA,89,26,251,20,60,265,136
PEX14,42,5,52,2,22,113,52
CASZ1,6,4,0,0,1,2,2
C1orf127,2,0,1,0,0,0,0
TARDBP,64,17,142,10,65,262,152
MASP2,0,0,0,0,0,1,0
SRM,558,81,1399,100,322,2327,1172
EXOSC10,34,20,67,8,45,106,52
EXOSC10-AS1,4,2,8,1,1,15,24
MTOR,53,11,64,5,30,124,86
MTOR-AS1,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,0
UBIAD1,23,6,34,7,11,61,46
DISP3,0,0,0,0,0,1,0
LINC01647,0,0,0,0,0,0,0
FBXO2,50,7,53,5,12,290,252
FBXO44,35,7,46,3,17,109,55
FBXO6,29,6,43,4,14,76,31
MAD2L2,41,7,137,8,17,123,86
DRAXIN,0,0,6,1,0,1,0
AGTRAP,103,20,374,16,73,654,450
C1orf167,2,0,0,0,0,1,2
C1orf167-AS1,0,0,0,0,0,0,0
MTHFR,18,9,58,5,16,46,53
CLCN6,12,3,29,1,16,47,21
NPPA-AS1,0,0,0,0,0,1,0
NPPA,0,0,0,0,0,1,0
NPPB,0,0,0,51,1,204,18
RNU5E-1,0,0,0,0,0,0,1
KIAA2013,69,28,208,14,86,324,201
PLOD1,131,63,430,11,212,742,646
MFN2,38,33,100,4,65,208,140
MIIP,40,9,77,7,24,250,59
MIR6729,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,8,0
MIR7846,0,0,0,0,0,0,0
TNFRSF1B,0,0,0,0,0,2,0
MIR4632,0,0,0,0,0,0,0
VPS13D,17,8,62,1,26,118,57
SNORA59A,0,0,0,0,0,0,0
SNORA59B,0,0,0,0,0,0,0
DHRS3,14,10,77,1,1,1519,120
MIR6730,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,1,0
AADACL3,0,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0
PRAMEF22,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,90,0
PDPN,26,8,267,3,158,5927,86
PRDM2,55,15,126,4,42,189,99
KAZN-AS1,0,0,0,0,0,0,0
KAZN,97,9,68,11,23,57,57
TMEM51-AS1,0,0,0,0,0,2,0
TMEM51,3,1,18,0,14,131,24
C1orf195,0,0,0,0,0,0,0
FHAD1,0,0,3,0,0,0,4
FHAD1-AS1,0,0,0,0,0,0,0
EFHD2,22,6,119,11,21,171,85
CTRC,0,0,1,0,0,0,0
CELA2A,0,0,0,0,0,2,0
CELA2B,0,0,0,0,0,0,0
CASP9,14,3,22,1,8,29,17
DNAJC16,33,9,89,1,39,126,111
SCARNA21B,0,0,0,0,0,0,0
AGMAT,1,1,5,0,5,11,13
DDI2,14,11,60,1,27,76,52
RSC1A1,0,0,0,0,0,0,0
PLEKHM2,114,20,217,20,64,280,169
SLC25A34,0,0,2,0,1,7,9
SLC25A34-AS1,1,0,3,0,1,0,3
TMEM82,0,0,0,0,0,0,0
FBLIM1,317,59,459,179,155,372,433
UQCRHL,15,2,19,1,1,27,17
FLJ37453,13,3,23,2,8,44,34
SPEN,59,23,136,2,38,145,123
ZBTB17,30,10,56,2,25,98,59
SRARP,0,0,0,0,0,0,0
HSPB7,125,5,1,25,218,68,2
CLCNKA,0,0,0,0,1,2,1
CLCNKB,3,0,0,0,0,0,0
FAM131C,2,0,4,1,0,4,5
EPHA2,81,65,230,33,106,395,289
ARHGEF19,10,3,24,1,15,64,12
CPLANE2,2,0,19,0,4,15,17
FBXO42,29,9,67,4,19,74,59
SZRD1,133,21,270,15,106,352,278
SPATA21,0,0,0,0,0,0,1
NECAP2,169,32,274,31,65,280,213
LINC01772,1,4,6,0,2,6,5
CROCCP3,6,2,8,0,2,10,5
RNU1-1,0,0,0,0,0,0,0
RNU1-2,0,0,0,0,0,0,0
RNU1-3,0,0,0,0,0,0,0
RNU1-4,0,0,0,0,0,0,0
RNVU1-18,0,0,0,0,0,0,0
LINC01783,0,0,0,0,0,0,0
MIR3675,0,0,0,0,0,0,0
NBPF1,27,12,23,2,45,94,51
CROCCP2,25,6,26,1,14,40,37
MST1P2,2,1,2,0,2,14,2
ESPNP,0,0,0,0,0,0,0
MST1L,1,1,0,0,1,3,1
LOC112267871,0,0,0,0,0,0,0
LOC105376805,86,11,2,2,19,242,82
CROCC,20,16,82,6,29,65,31
MFAP2,166,49,1137,8,195,951,1178
ATP13A2,22,13,105,3,48,197,167
SDHB,117,20,321,32,62,495,301
PADI2,6,10,2,0,0,0,0
LINC02783,1,0,0,0,2,9,3
PADI1,7,4,1,0,4,3,5
PADI3,0,0,0,0,0,0,0
MIR3972,0,0,0,0,0,0,0
PADI4,0,0,0,0,0,0,0
PADI6,0,0,0,0,0,0,0
RCC2,104,57,295,11,95,244,267
ARHGEF10L,28,12,48,11,33,42,31
ACTL8,0,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0,0
KLHDC7A,0,0,0,0,0,0,0
PAX7,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0
ALDH4A1,14,0,27,2,8,43,23
MIR4695,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0,0
IFFO2,14,7,15,3,26,21,36
UBR4,139,61,230,18,134,471,273
EMC1-AS1,16,2,36,5,3,48,34
EMC1,53,20,148,6,45,289,157
MRTO4,61,12,238,17,38,275,127
AKR7L,1,0,0,0,1,2,2
AKR7A3,2,0,0,0,0,2,3
LOC100506730,4,3,8,0,4,4,6
AKR7A2,241,34,629,25,75,735,323
SLC66A1,24,15,83,5,21,104,73
CAPZB,675,191,1438,121,505,2358,1084
LOC105378614,0,0,0,0,0,0,0
MICOS10,898,221,1780,111,513,3270,2231
MICOS10-NBL1,0,0,0,0,0,0,0
RPS14P3,5,1,78,3,10,87,91
NBL1,4,0,4,0,0,1,1
HTR6,0,1,0,0,1,2,0
TMCO4,17,7,24,5,9,27,23
RNF186,0,0,0,0,0,0,0
OTUD3,18,4,25,8,17,65,30
PLA2G2E,0,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,5,0
PLA2G5,0,0,0,0,0,2,0
PLA2G2D,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0
UBXN10-AS1,0,0,0,0,0,4,0
UBXN10,0,0,0,0,0,5,0
LINC01757,0,0,0,0,0,0,0
VWA5B1,0,0,0,0,0,0,0
LINC01141,0,0,0,0,0,0,0
CAMK2N1,136,35,326,25,185,578,502
MUL1,72,14,117,6,30,133,98
FAM43B,2,0,0,0,5,0,11
CDA,0,0,1,0,15,5,19
PINK1,109,26,304,8,140,312,237
MIR6084,0,0,0,0,0,0,0
PINK1-AS,1,0,2,1,0,8,4
DDOST,386,61,945,52,109,2138,660
KIF17,3,0,1,0,3,4,4
SH2D5,2,0,7,1,13,8,5
HP1BP3,277,55,472,23,134,487,457
EIF4G3,135,47,252,19,117,418,280
MIR1256,0,0,0,0,0,0,0
ECE1,53,32,152,28,135,304,257
ECE1-AS1,1,0,0,0,0,1,0
NBPF3,2,0,8,0,6,19,6
ALPL,58,61,1419,2,90,12,179
RAP1GAP,5,2,1,0,1,5,0
USP48,118,28,265,15,73,308,151
LDLRAD2,1,0,0,0,0,2,2
HSPG2,287,140,517,36,279,1576,792
CELA3B,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0
LINC01635,3,1,1,0,0,1,2
LINC00339,12,4,45,1,6,41,40
CDC42,650,146,2008,154,448,3276,2162
WNT4,1,1,0,0,1,385,11
MIR4418,0,0,0,0,0,0,0
ZBTB40,22,7,36,4,29,67,34
EPHA8,0,0,0,0,0,1,0
MIR6127,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0
EPHB2,19,23,137,2,72,222,155
MIR4684,0,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0,0
LACTBL1,0,0,0,0,0,0,0
TEX46,0,0,2,0,0,1,1
KDM1A,83,29,165,16,53,199,140
MIR3115,0,0,0,0,0,0,0
LUZP1,225,43,340,37,128,547,398
HTR1D,0,0,0,0,0,1,7
LINC01355,6,0,23,0,2,20,15
HNRNPR,411,62,698,55,135,700,505
ZNF436,15,8,33,0,2,16,30
ZNF436-AS1,8,4,27,0,7,19,37
TCEA3,83,7,34,0,15,22,23
ASAP3,4,0,63,0,7,32,13
E2F2,0,0,0,0,0,0,0
LOC101928163,0,0,0,0,0,0,0
ID3,3230,49,666,346,375,4997,1329
MDS2,0,0,0,0,0,0,0
RPL11,3760,598,20370,814,1607,16807,12144
ELOA,88,28,139,18,73,271,154
