H1.1,H1.2,H2.1,H3.1,H4.1,H5.1,H6.1
DDX11L1,0,0,0,0,0,0,0
WASH7P,102,84,174,61,38,49,51
MIR6859-1,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0
LOC729737,49,72,98,54,26,76,211
LOC102725121,0,0,0,1,0,0,0
FAM138D,0,0,0,0,0,4,0
OR4F16,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0
MIR12136,1,1,0,1,0,0,0
LOC100133331,0,0,0,0,0,0,1
LOC100288069,5,5,6,5,2,10,3
FAM87B,1,1,0,1,0,0,0
LINC00115,38,63,67,30,26,49,64
LINC01128,574,444,563,313,219,246,517
FAM41C,84,137,169,131,78,68,147
LINC02593,3,11,120,25,15,37,13
SAMD11,34,133,1542,184,140,526,120
NOC2L,2000,2386,4206,1645,1178,1437,1992
KLHL17,363,310,451,328,192,257,534
PLEKHN1,302,148,202,164,45,52,437
PERM1,2,7,0,1,3,1,7
HES4,10746,10342,2225,8060,4261,1757,8349
ISG15,8695,8074,4049,10140,21144,4157,3612
AGRN,3552,4413,3153,2889,1878,1873,6046
LOC100288175,177,288,92,247,55,23,385
RNF223,0,0,0,1,0,0,0
C1orf159,181,191,320,154,93,149,296
LINC01342,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0
TNFRSF18,40,82,0,6,1,1,15
TNFRSF4,4,7,6,10,3,12,16
SDF4,6517,8190,8202,7255,4765,11692,12250
B3GALT6,3317,3429,3660,3037,2173,2467,3661
